id,heroId,name,stars,hp,atk,pdd,mdd,groHp,groAtk,groPdd,groMdd,matId,amount,speed
4100501,41005,呼延灼,1,777,81,28,23,41,5,2,2,31005,30,4
4100502,41005,呼延灼,2,1554,162,56,45,82,10,4,3,31005,60,8
4100503,41005,呼延灼,3,4660,486,168,135,139,17,6,5,31005,130,16
4100504,41005,呼延灼,4,9320,971,336,269,188,23,9,7,31005,260,24
4100505,41005,呼延灼,5,14756,1536,532,426,261,32,12,9,31005,400,32
4100506,41005,呼延灼,6,20193,2102,728,583,326,40,14,12,31005,-1,40
4100701,41007,刘唐,1,770,81,28,23,40,5,2,2,31007,30,4
4100702,41007,刘唐,2,1539,161,56,45,79,10,4,3,31007,60,8
4100703,41007,刘唐,3,4617,481,167,134,134,17,6,5,31007,130,16
4100704,41007,刘唐,4,9233,961,333,267,182,23,8,7,31007,260,24
4100705,41007,刘唐,5,14618,1522,527,422,253,31,11,9,31007,400,32
4100706,41007,刘唐,6,20003,2083,721,577,316,39,14,11,31007,-1,40
4100101,41001,鲁智深,1,766,80,28,23,39,5,2,2,31001,30,4
4100102,41001,鲁智深,2,1532,160,56,45,78,10,4,3,31001,60,8
4100103,41001,鲁智深,3,4595,479,166,133,132,17,6,5,31001,130,16
4100104,41001,鲁智深,4,9189,957,332,265,179,22,8,7,31001,260,24
4100105,41001,鲁智深,5,14549,1515,525,420,248,31,11,9,31001,400,32
4100106,41001,鲁智深,6,19908,2073,718,574,310,38,14,11,31001,-1,40
4103301,41033,雷横,1,693,73,25,20,26,4,2,1,31033,20,4
4103302,41033,雷横,2,1386,145,50,40,51,7,3,2,31033,55,8
4103303,41033,雷横,3,4157,433,150,120,87,12,5,4,31033,110,16
4103304,41033,雷横,4,8314,866,300,240,117,16,6,5,31033,220,24
4103305,41033,雷横,5,13163,1371,475,380,163,22,8,7,31033,330,32
4103306,41033,雷横,6,18012,1875,650,520,204,27,10,8,31033,-1,40
4103201,41032,索超,1,686,72,20,25,25,4,1,2,31032,20,4
4103202,41032,索超,2,1371,143,40,50,49,7,2,3,31032,55,8
4103203,41032,索超,3,4113,429,119,149,82,11,4,4,31032,110,16
4103204,41032,索超,4,8226,857,238,297,111,15,5,6,31032,220,24
4103205,41032,索超,5,13025,1356,376,470,155,21,6,8,31032,330,32
4103206,41032,索超,6,17823,1856,514,643,193,26,8,10,31032,-1,40
4101601,41016,杨志,1,661,93,13,25,20,8,1,2,31016,30,4
4101602,41016,杨志,2,1321,186,25,49,39,15,2,3,31016,60,8
4101603,41016,杨志,3,3963,558,73,146,67,25,2,4,31016,130,16
4101604,41016,杨志,4,7926,1115,146,291,90,33,3,5,31016,260,24
4101605,41016,杨志,5,12549,1765,231,461,125,46,4,7,31016,400,32
4101606,41016,杨志,6,17172,2415,316,631,156,58,5,9,31016,-1,40
4100301,41003,卢俊义,1,749,90,26,13,36,7,2,1,31003,40,4
4100302,41003,卢俊义,2,1498,180,52,26,72,14,3,2,31003,90,8
4100303,41003,卢俊义,3,4493,540,154,77,122,23,5,3,31003,180,16
4100304,41003,卢俊义,4,8985,1079,307,154,164,31,6,3,31003,360,24
4100305,41003,卢俊义,5,14225,1708,485,243,228,43,9,5,31003,550,32
4100306,41003,卢俊义,6,19466,2338,664,332,285,53,11,6,31003,-1,40
4100401,41004,林冲,1,742,90,26,13,35,7,2,1,31004,40,4
4100402,41004,林冲,2,1484,179,51,26,69,13,3,2,31004,90,8
4100403,41004,林冲,3,4452,535,152,76,117,22,5,3,31004,180,16
4100404,41004,林冲,4,8903,1069,304,152,159,30,6,3,31004,360,24
4100405,41004,林冲,5,14096,1693,481,241,220,42,8,4,31004,550,32
4100406,41004,林冲,6,19289,2316,658,329,275,52,10,5,31004,-1,40
4100601,41006,武松,1,719,87,25,13,31,6,2,1,31006,30,4
4100602,41006,武松,2,1437,173,49,25,61,12,3,2,31006,60,8
4100603,41006,武松,3,4309,518,147,74,103,21,4,2,31006,130,16
4100604,41006,武松,4,8617,1035,294,147,139,28,6,3,31006,260,24
4100605,41006,武松,5,13643,1639,466,233,193,38,8,4,31006,400,32
4100606,41006,武松,6,18670,2242,637,319,241,48,9,5,31006,-1,40
4100201,41002,史进,1,681,82,24,12,24,6,1,1,31002,20,4
4100202,41002,史进,2,1362,164,47,24,47,11,2,1,31002,55,8
4100203,41002,史进,3,4084,491,140,70,79,18,3,2,31002,110,16
4100204,41002,史进,4,8168,981,279,140,107,24,4,2,31002,220,24
4100205,41002,史进,5,12932,1553,441,221,149,33,6,3,31002,330,32
4100206,41002,史进,6,17696,2125,604,302,186,41,7,4,31002,-1,40
4100901,41009,阮小七,1,715,86,25,13,30,6,2,1,31009,30,4
4100902,41009,阮小七,2,1430,172,49,25,59,12,3,2,31009,60,8
4100903,41009,阮小七,3,4288,515,147,74,100,20,4,2,31009,130,16
4100904,41009,阮小七,4,8576,1030,293,147,136,27,5,3,31009,260,24
4100905,41009,阮小七,5,13579,1631,463,232,189,38,7,4,31009,400,32
4100906,41009,阮小七,6,18581,2231,634,317,236,47,9,5,31009,-1,40
4101301,41013,公孙胜,1,686,97,13,26,25,8,1,2,31013,35,4
4101302,41013,公孙胜,2,1372,193,26,51,49,16,2,3,31013,70,8
4101303,41013,公孙胜,3,4115,579,76,152,82,27,3,5,31013,140,16
4101304,41013,公孙胜,4,8229,1157,152,303,111,36,3,6,31013,280,24
4101305,41013,公孙胜,5,13029,1832,240,479,155,50,4,8,31013,450,32
4101306,41013,公孙胜,6,17829,2507,328,655,193,63,5,10,31013,-1,40
4101401,41014,花荣,1,683,96,13,26,24,8,1,2,31014,35,4
4101402,41014,花荣,2,1366,192,26,51,48,16,2,3,31014,70,8
4101403,41014,花荣,3,4096,576,76,151,81,27,3,5,31014,140,16
4101404,41014,花荣,4,8191,1152,151,301,109,36,3,6,31014,280,24
4101405,41014,花荣,5,12969,1824,239,477,151,50,4,8,31014,450,32
4101406,41014,花荣,6,17747,2496,326,652,189,62,5,10,31014,-1,40
4101701,41017,徐宁,1,667,94,13,25,21,8,1,2,31017,30,4
4101702,41017,徐宁,2,1334,188,25,49,42,15,2,3,31017,60,8
4101703,41017,徐宁,3,4001,563,74,147,71,25,2,4,31017,130,16
4101704,41017,徐宁,4,8002,1125,147,294,95,34,3,6,31017,260,24
4101705,41017,徐宁,5,12669,1782,233,466,133,47,4,8,31017,400,32
4101706,41017,徐宁,6,17336,2438,319,637,166,59,5,9,31017,-1,40
4101501,41015,柴进,1,664,94,13,25,21,8,1,2,31015,30,4
4101502,41015,柴进,2,1328,187,25,49,41,15,2,3,31015,60,8
4101503,41015,柴进,3,3982,560,74,147,69,25,2,4,31015,130,16
4101504,41015,柴进,4,7964,1120,147,293,93,34,3,5,31015,260,24
4101505,41015,柴进,5,12609,1773,232,463,129,47,4,7,31015,400,32
4101506,41015,柴进,6,17254,2426,317,634,161,58,5,9,31015,-1,40
4102301,41023,西门庆,1,632,89,12,24,15,7,1,1,31023,20,4
4102302,41023,西门庆,2,1264,178,24,47,29,13,1,2,31023,55,8
4102303,41023,西门庆,3,3792,534,70,140,49,22,2,3,31023,110,16
4102304,41023,西门庆,4,7584,1067,140,279,66,30,2,4,31023,220,24
4102305,41023,西门庆,5,12008,1689,221,441,92,41,3,6,31023,330,32
4102306,41023,西门庆,6,16432,2311,302,604,115,52,4,7,31023,-1,40
4102601,41026,潘金莲,1,730,78,27,27,33,5,2,2,31026,20,4
4102602,41026,潘金莲,2,1459,155,53,53,65,9,3,3,31026,55,8
4102603,41026,潘金莲,3,4376,463,158,158,110,15,5,5,31026,110,16
4102604,41026,潘金莲,4,8751,926,316,316,148,20,7,7,31026,220,24
4102605,41026,潘金莲,5,13856,1466,500,500,206,28,10,10,31026,330,32
4102606,41026,潘金莲,6,18960,2006,684,684,257,35,12,12,31026,-1,40
4102701,41027,李师师,1,766,81,28,28,39,5,2,2,31027,30,4
4102702,41027,李师师,2,1532,162,56,56,78,10,4,4,31027,60,8
4102703,41027,李师师,3,4595,486,166,166,132,17,6,6,31027,130,16
4102704,41027,李师师,4,9189,972,332,332,179,23,8,8,31027,260,24
4102705,41027,李师师,5,14549,1539,525,525,248,32,11,11,31027,400,32
4102706,41027,李师师,6,19908,2106,718,718,310,40,14,14,31027,-1,40
4101101,41011,石秀,1,647,78,23,12,17,5,1,1,31011,20,4
4101102,41011,石秀,2,1294,156,45,23,34,9,2,1,31011,55,8
4101103,41011,石秀,3,3880,466,133,67,58,15,3,2,31011,110,16
4101104,41011,石秀,4,7760,932,265,133,78,21,4,2,31011,220,24
4101105,41011,石秀,5,12286,1476,419,210,109,28,5,3,31011,330,32
4101106,41011,石秀,6,16812,2019,574,287,136,35,6,3,31011,-1,40
4102001,41020,阮小五,1,688,83,24,12,25,6,1,1,31020,20,4
4102002,41020,阮小五,2,1375,166,47,24,49,11,2,1,31020,55,8
4102003,41020,阮小五,3,4125,496,141,71,84,18,4,2,31020,110,16
4102004,41020,阮小五,4,8250,991,282,141,113,25,5,3,31020,220,24
4102005,41020,阮小五,5,13062,1569,446,223,157,34,6,3,31020,330,32
4102006,41020,阮小五,6,17873,2146,610,305,196,42,8,4,31020,-1,40
4103501,41035,杨雄1,1,924,60,33,33,68,1,3,3,31035,30,4
4103502,41035,杨雄1,2,1848,119,65,65,136,2,6,6,31035,60,8
4103503,41035,杨雄1,3,5543,356,195,195,230,4,9,9,31035,130,16
4103504,41035,杨雄1,4,11085,712,390,390,312,5,12,12,31035,260,24
4103505,41035,杨雄1,5,17551,1127,617,617,433,7,17,17,31035,400,32
4103506,41035,杨雄1,6,24016,1542,844,844,541,8,21,21,31035,-1,40
4103601,41036,刘唐1,1,730,76,22,27,33,5,2,2,31036,30,4
4103602,41036,刘唐1,2,1459,152,43,53,65,9,3,3,31036,60,8
4103603,41036,刘唐1,3,4376,456,127,158,110,14,4,5,31036,130,16
4103604,41036,刘唐1,4,8751,911,253,316,148,19,6,7,31036,260,24
4103605,41036,刘唐1,5,13856,1443,400,500,206,26,8,10,31036,400,32
4103606,41036,刘唐1,6,18960,1974,547,684,257,33,10,12,31036,-1,40
4103701,41037,千御杨志,1,887,57,32,32,61,1,3,3,31037,20,4
4103702,41037,千御杨志,2,1774,114,63,63,122,2,5,5,31037,55,8
4103703,41037,千御杨志,3,5321,342,187,187,207,2,8,8,31037,110,16
4103704,41037,千御杨志,4,10641,684,374,374,280,3,11,11,31037,220,24
4103705,41037,千御杨志,5,16849,1082,592,592,390,4,15,15,31037,330,32
4103706,41037,千御杨志,6,23056,1480,810,810,487,5,19,19,31037,-1,40
4103801,41038,鲁智深2,1,698,84,24,12,27,6,1,1,31038,20,4
4103802,41038,鲁智深2,2,1396,168,48,24,53,11,2,1,31038,55,8
4103803,41038,鲁智深2,3,4186,503,143,72,90,19,4,2,31038,110,16
4103804,41038,鲁智深2,4,8372,1006,286,143,121,26,5,3,31038,220,24
4103805,41038,鲁智深2,5,13255,1592,452,226,169,36,7,4,31038,330,32
4103806,41038,鲁智深2,6,18139,2178,619,310,211,44,8,4,31038,-1,40
4103901,41039,圣手柴进,1,704,75,26,26,28,4,2,2,31039,20,4
4103902,41039,圣手柴进,2,1408,149,51,51,55,8,3,3,31039,55,8
4103903,41039,圣手柴进,3,4223,447,153,153,94,13,5,5,31039,110,16
4103904,41039,圣手柴进,4,8445,894,305,305,127,18,6,6,31039,220,24
4103905,41039,圣手柴进,5,13371,1415,482,482,176,25,9,9,31039,330,32
4103906,41039,圣手柴进,6,18297,1936,660,660,220,31,11,11,31039,-1,40
4104001,41040,沸血卢俊义,1,975,63,35,35,77,2,3,3,31040,30,4
4104002,41040,沸血卢俊义,2,1949,126,69,69,154,4,6,6,31040,60,8
4104003,41040,沸血卢俊义,3,5847,376,206,206,262,6,10,10,31040,130,16
4104004,41040,沸血卢俊义,4,11694,751,411,411,354,8,14,14,31040,260,24
4104005,41040,沸血卢俊义,5,18516,1189,651,651,493,11,19,19,31040,400,32
4104006,41040,沸血卢俊义,6,25337,1627,890,890,616,13,24,24,31040,-1,40
4104101,41041,暴走阮小七,1,783,94,27,14,42,8,2,1,31041,40,4
4104102,41041,暴走阮小七,2,1566,188,54,27,84,15,4,2,31041,90,8
4104103,41041,暴走阮小七,3,4697,564,161,81,143,25,6,3,31041,180,16
4104104,41041,暴走阮小七,4,9393,1128,321,161,193,34,7,4,31041,360,24
4104105,41041,暴走阮小七,5,14872,1786,507,254,268,47,10,5,31041,550,32
4104106,41041,暴走阮小七,6,20351,2444,694,347,335,59,13,7,31041,-1,40
4104201,41042,魅影潘金莲,1,788,82,23,29,43,6,2,2,31042,35,4
4104202,41042,魅影潘金莲,2,1576,164,46,57,86,11,3,4,31042,70,8
4104203,41042,魅影潘金莲,3,4726,492,137,171,146,18,5,7,31042,140,16
4104204,41042,魅影潘金莲,4,9451,984,273,341,197,24,7,9,31042,280,24
4104205,41042,魅影潘金莲,5,14964,1558,432,540,274,33,10,12,31042,450,32
4104206,41042,魅影潘金莲,6,20477,2132,591,738,342,42,12,15,31042,-1,40
4104301,41043,血怒林冲,1,770,82,28,28,40,6,2,2,31043,30,4
4104302,41043,血怒林冲,2,1539,163,56,56,79,11,4,4,31043,60,8
4104303,41043,血怒林冲,3,4617,489,167,167,134,18,6,6,31043,130,16
4104304,41043,血怒林冲,4,9233,977,333,333,182,24,8,8,31043,260,24
4104305,41043,血怒林冲,5,14618,1547,527,527,253,33,11,11,31043,400,32
4104306,41043,血怒林冲,6,20003,2116,721,721,316,41,14,14,31043,-1,40
4104401,41044,武松2,1,948,101,35,35,73,9,3,3,31044,20,4
4104402,41044,武松2,2,1896,201,69,69,145,17,6,6,31044,55,8
4104403,41044,武松2,3,5688,602,205,205,245,29,10,10,31044,110,16
4104404,41044,武松2,4,11376,1204,410,410,332,40,14,14,31044,220,24
4104405,41044,武松2,5,18012,1906,650,650,462,55,19,19,31044,330,32
4104406,41044,武松2,6,24648,2608,889,889,577,68,23,23,31044,-1,40
4104501,41045,幻舞李师师,1,980,63,35,35,78,2,3,3,31045,30,4
4104502,41045,幻舞李师师,2,1959,126,69,69,156,4,6,6,31045,60,8
4104503,41045,幻舞李师师,3,5875,378,207,207,265,6,10,10,31045,130,16
4104504,41045,幻舞李师师,4,11750,755,413,413,358,8,14,14,31045,260,24
4104505,41045,幻舞李师师,5,18604,1195,654,654,498,11,19,19,31045,400,32
4104506,41045,幻舞李师师,6,25457,1635,894,894,622,14,24,24,31045,-1,40
4104601,41046,赤焰刘唐,1,901,58,32,32,64,1,3,3,31046,20,4
4104602,41046,赤焰刘唐,2,1802,116,64,64,127,2,5,5,31046,55,8
4104603,41046,赤焰刘唐,3,5404,347,190,190,216,3,9,9,31046,110,16
4104604,41046,赤焰刘唐,4,10808,694,380,380,292,4,12,12,31046,220,24
4104605,41046,赤焰刘唐,5,17112,1099,601,601,406,5,16,16,31046,330,32
4104606,41046,赤焰刘唐,6,23416,1504,823,823,508,6,20,20,31046,-1,40
4500201,45002,高俅,1,696,98,13,26,26,9,1,2,35002,20,4
4500202,45002,高俅,2,1391,196,26,52,52,17,2,3,35002,55,8
4500203,45002,高俅,3,4172,587,77,154,88,28,3,5,35002,110,16
4500204,45002,高俅,4,8343,1173,154,307,119,37,3,6,35002,220,24
4500205,45002,高俅,5,13209,1858,243,485,166,52,5,9,35002,330,32
4500206,45002,高俅,6,18076,2542,332,664,207,65,6,11,35002,-1,40
