id,module,costTyp,minLevel,maxLevel,pos,itemList,pro,refresh,buyLimit,gangShop
60010,6,6,36,48,1,"31042,5,3500",100,1,1,1
60011,6,6,36,48,2,"31040,5,2500",100,1,1,1
60012,6,6,36,48,3,"31017,5,2500",100,1,1,1
60013,6,6,36,48,4,"31011,5,2500",100,1,1,1
60014,6,6,36,48,5,"72121,1,250|72124,1,250|72127,1,250|72131,1,300|72134,1,300|72137,1,300","16,16,16,16,16,17",1,1,1
60015,6,6,36,48,6,"10008,10,600",100,1,1,1
60016,6,6,36,48,7,"72221,1,250|72224,1,250|72227,1,250|72231,1,300|72234,1,300|72237,1,300","16,16,16,16,16,17",1,1,1
60017,6,6,36,48,8,"10014,5,2500",100,1,1,1
60018,6,6,36,48,9,"72321,1,250|72224,1,250|72227,1,250|72331,1,300|72234,1,300|72237,1,300","16,16,16,16,16,17",1,1,1
60019,6,6,49,59,1,"31042,5,3500",100,1,1,1
60020,6,6,49,59,2,"31040,5,2500",100,1,1,1
60021,6,6,49,59,3,"31017,5,2500",100,1,1,1
60022,6,6,49,59,4,"31011,5,2500",100,1,1,1
60023,6,6,49,59,5,"72131,1,300|72134,1,300|72137,1,300|72141,1,400|72144,1,400|72147,1,400","16,16,16,16,16,17",1,1,1
60024,6,6,49,59,6,"10008,10,600",100,1,1,1
60025,6,6,49,59,7,"72231,1,300|72234,1,300|72237,1,300|72241,1,400|72244,1,400|72247,1,400","16,16,16,16,16,17",1,1,1
60026,6,6,49,59,8,"10014,5,2500",100,1,1,1
60027,6,6,49,59,9,"72331,1,300|72234,1,300|72237,1,300|72341,1,400|72244,1,400|72247,1,400","16,16,16,16,16,17",1,1,1
60028,6,6,60,80,1,"31042,5,3500",100,1,1,1
60029,6,6,60,80,2,"31040,5,2500",100,1,1,1
60030,6,6,60,80,3,"31017,5,2500",100,1,1,1
60031,6,6,60,80,4,"31011,5,2500",100,1,1,1
60032,6,6,60,80,5,"72141,1,400|72144,1,400|72147,1,400|72150,1,400","25,25,25,25",1,1,1
60033,6,6,60,80,6,"10008,10,600",100,1,1,1
60034,6,6,60,80,7,"72241,1,400|72244,1,400|72247,1,400|72250,1,400","25,25,25,25",1,1,1
60035,6,6,60,80,8,"10014,5,2500",100,1,1,1
60036,6,6,60,80,9,"72341,1,400|72244,1,400|72247,1,400|72250,1,400","25,25,25,25",1,1,1
70001,7,7,1,999,1,"72101,1,5|72314,1,5|72327,1,40|72237,1,50|72150,1,70","20,20,20,20,20",1,1,-1
70002,7,7,1,999,2,"72201,1,5|72121,1,40|72131,1,50|72337,1,50|72250,1,70","20,20,20,20,20",1,1,-1
70003,7,7,1,999,3,"72301,1,5|72221,1,40|72231,1,50|72141,1,70|72350,1,70","20,20,20,20,20",1,1,-1
70004,7,7,1,999,4,"72111,1,5|72321,1,40|72331,1,50|72241,1,70|72227,1,50","20,20,20,20,20",1,1,-1
70005,7,7,1,999,5,"72211,1,5|72124,1,40|72134,1,50|72341,1,70|72144,1,70","20,20,20,20,20",1,1,-1
70006,7,7,1,999,6,"72311,1,5|72224,1,40|72234,1,50|72147,1,70|72244,1,70","20,20,20,20,20",1,1,-1
70007,7,7,1,999,7,"72114,1,5|72324,1,40|72334,1,50|72247,1,70|72344,1,70","20,20,20,20,20",1,1,-1
70008,7,7,1,999,8,"72214,1,5|72127,1,40|72137,1,50|72347,1,70","25,25,25,25",1,1,-1
80001,8,8,1,999,1,"31015,1,180|31010,1,180|72141,1,30|72247,1,30","10,10,40,40",1,1,-1
80002,8,8,1,999,2,"31016,1,180|31009,1,180|72241,1,30|72347,1,30","10,10,40,40",1,1,-1
80003,8,8,1,999,3,"31017,1,180|31020,1,150|31023,1,150|72341,1,30|72150,1,30","10,10,10,35,35",1,1,-1
80004,8,2,1,999,4,"31002,1,100|31001,1,150|31011,1,100|31027,1,150|11002,50000,100|11002,100000,200|11002,250000,500|31043,1,150|31026,1,100|31039,1,100|31006,1,150","10,10,10,10,20,10,5,5,5,5,5",1,1,-1
80005,8,8,1,999,5,"31029,1,180|31010,1,180|31040,1,180|31045,1,180|72244,1,30|72250,1,30","10,10,10,10,30,30",1,1,-1
80006,8,8,1,999,6,"31034,1,150|31030,1,150|31037,1,150|31046,1,150|31042,1,180|72344,1,30|72350,1,30","10,10,10,10,10,25,25",1,1,-1
80007,8,8,1,999,7,"31007,1,180|31005,1,180|72144,1,30|72137,1,20","10,10,40,40",1,1,-1
80008,8,8,1,999,8,"31033,1,150|31032,1,150|72147,1,30|72237,1,20","10,10,40,40",1,1,-1
90001,9,9,1,80,1,"31004,5,120",100,1,1,-1
90002,9,9,1,80,2,"31015,5,120",100,1,1,-1
90003,9,9,1,80,3,"10027,1,10",100,1,1,-1
90004,9,9,1,80,4,"10046,10,20",100,1,1,-1
90005,9,9,1,80,5,"10049,10,20",100,1,1,-1
100001,10,2,1,35,1,"31029,2,180|31020,2,180|31034,2,180|31007,2,180|31001,2,180|31016,2,180|31027,2,180|31008,2,200|31014,2,200","13,13,13,13,13,13,13,5,4",1,1,-1
100002,10,2,1,35,2,"31037,2,150|31033,2,150|31032,2,150|31020,2,150|31002,2,150|30123,2,150|31011,2,150|31026,2,150|31039,2,150","11,11,11,11,11,11,11,11,12",1,1,-1
100003,10,2,1,35,3,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100004,10,2,1,35,4,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100005,10,3,1,35,5,"72111,1,1000|72114,1,2000","50,50",1,1,-1
100006,10,3,1,35,6,"72211,1,1000|72214,1,2000","50,50",1,1,-1
100007,10,3,1,35,7,"72311,1,1000|72314,1,2000|72121,1,5000|72124,1,5000|72127,1,5000","20,20,20,20,20",1,1,-1
100008,10,3,1,35,8,"72211,1,1000|72214,1,2000|72221,1,5000|72224,1,5000|72227,1,5000","20,20,20,20,20",1,1,-1
100009,10,2,36,48,1,"31029,2,180|31020,2,180|31034,2,180|31007,2,180|31001,2,180|31016,2,180|31027,2,180|31008,2,200|31014,2,200","13,13,13,13,13,13,13,5,4",1,1,-1
100010,10,2,36,48,2,"31037,2,150|31033,2,150|31032,2,150|31020,2,150|31002,2,150|30123,2,150|31011,2,150|31026,2,150|31039,2,150","11,11,11,11,11,11,11,11,12",1,1,-1
100011,10,2,36,48,3,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100012,10,2,36,48,4,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100013,10,3,36,48,5,"72321,1,5000|72324,1,5000|72327,1,5000","33,33,34",1,1,-1
100014,10,3,36,48,6,"72121,1,5000|72124,1,5000|72127,1,5000","33,33,34",1,1,-1
100015,10,3,36,48,7,"72221,1,5000|72224,1,5000|72227,1,5000|72131,1,8000|72234,1,8000|72237,1,8000","16,16,17,17,17,17",1,1,-1
100016,10,3,36,48,8,"72321,1,5000|72324,1,5000|72327,1,5000|72231,1,8000|72234,1,8000|72237,1,8000","16,16,17,17,17,17",1,1,-1
100017,10,2,49,59,1,"31029,2,180|31020,2,180|31034,2,180|31007,2,180|31001,2,180|31016,2,180|31027,2,180|31008,2,200|31014,2,200","13,13,13,13,13,13,13,5,4",1,1,-1
100018,10,2,49,59,2,"31037,2,150|31033,2,150|31032,2,150|31020,2,150|31002,2,150|30123,2,150|31011,2,150|31026,2,150|31039,2,150","11,11,11,11,11,11,11,11,12",1,1,-1
100019,10,2,49,59,3,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100020,10,2,49,59,4,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100021,10,3,49,59,5,"72331,1,8000|72334,1,8000|72337,1,8000","33,33,34",1,1,-1
100022,10,3,49,59,6,"72131,1,8000|72134,1,8000|72137,1,8000","33,33,34",1,1,-1
100023,10,3,49,59,7,"72231,1,8000|72234,1,8000|72237,1,8000|72141,1,10000|72144,1,10000|72147,1,10000","16,16,17,17,17,17",1,1,-1
100024,10,3,49,59,8,"72331,1,8000|72334,1,8000|72337,1,8000|72341,1,10000|72244,1,10000|72247,1,10000","16,16,17,17,17,17",1,1,-1
100025,10,2,60,80,1,"31029,2,180|31020,2,180|31034,2,180|31007,2,180|31001,2,180|31016,2,180|31027,2,180|31008,2,200|31014,2,200","13,13,13,13,13,13,13,5,4",1,1,-1
100026,10,2,60,80,2,"31037,2,150|31033,2,150|31032,2,150|31020,2,150|31002,2,150|30123,2,150|31011,2,150|31026,2,150|31039,2,150","11,11,11,11,11,11,11,11,12",1,1,-1
100027,10,2,60,80,3,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100028,10,2,60,80,4,"32120,1,50|32121,1,50|32122,1,50|32123,1,50|32124,1,50|32125,1,50|32126,1,50","14,14,14,14,14,15,15",1,1,-1
100029,10,3,60,80,5,"72341,1,10000|72344,1,10000|72347,1,10000","33,33,34",1,1,-1
100030,10,3,60,80,6,"72141,1,10000|72144,1,10000|72147,1,10000","33,33,34",1,1,-1
100031,10,3,60,80,7,"72241,1,10000|72244,1,10000|72247,1,10000|72250,1,10000","25,25,25,25",1,1,-1
100032,10,3,60,80,8,"72341,1,10000|72344,1,10000|72347,1,10000|72250,1,10000","25,25,25,25",1,1,-1
