id,heroId,name,nextQua,nextName,mark,advLvl,value,maxValue,show,qua,level,apt,jobType,sexTyp,tagTyp,atkTyp,hp,atk,pdd,mdd,hit,miss,criPrb,criRes,criCoe,coeRes,ctrPrb,atkID,a_sklID,p1_sklID,p2_sklID,p3_sklID,d_sklID,mat1Id,amount1,mat2Id,amount2,mat3Id,amount3,costCoin,speed
4109921,41099,主角,4,主角+1,0,21,2,3,-1,4,35,15,2,0,4,1,7869,990,351,351,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72131,16,72231,16,72331,16,22089,42
4109922,41099,主角+1,4,主角+2,1,22,0,3,-1,4,40,15,2,0,4,1,8496,1069,379,379,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72134,16,72234,16,72334,16,28075,44
4109923,41099,主角+1,4,主角+2,1,23,1,3,-1,4,40,15,2,0,4,1,9123,1148,407,407,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72134,16,72234,16,72334,16,34573,46
4109924,41099,主角+1,4,主角+2,1,24,2,3,-1,4,40,15,2,0,4,1,9750,1227,435,435,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72134,18,72234,18,72334,18,41606,48
4109925,41099,主角+2,5,主角,2,25,0,3,-1,4,45,15,2,0,4,1,10440,1314,466,466,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72137,18,72237,18,72337,18,49199,50
4109926,41099,主角+2,5,主角,2,26,1,3,-1,4,45,15,2,0,4,1,11130,1400,496,496,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72137,18,72237,18,72337,18,58165,52
4109927,41099,主角+2,5,主角,2,27,2,3,-1,4,50,15,2,0,4,1,11819,1487,527,527,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72137,35,72237,35,72337,35,69810,54
4109928,41099,主角,5,主角+1,0,28,0,3,-1,5,55,15,2,0,4,1,13167,1657,587,587,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72141,70,72241,70,72341,70,82224,56
4109929,41099,主角,5,主角+1,0,29,1,3,-1,5,55,15,2,0,4,1,13920,1751,621,621,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72141,70,72241,70,72341,70,95545,58
4109930,41099,主角,5,主角+1,0,30,2,3,-1,5,55,15,2,0,4,1,14672,1846,654,654,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72141,75,72241,75,72341,75,109799,60
4109931,41099,主角+1,5,主角+2,1,31,0,3,-1,5,60,15,2,0,4,1,15487,1949,691,691,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72144,75,72244,75,72344,75,126008,62
4109932,41099,主角+1,5,主角+2,1,32,1,3,-1,5,60,15,2,0,4,1,16302,2051,727,727,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72144,75,72244,75,72344,75,146107,64
4109933,41099,主角+1,5,主角+2,1,33,2,3,-1,5,60,15,2,0,4,1,17118,2154,763,763,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72144,82,72244,82,72344,82,167348,66
4109934,41099,主角+2,5,主角+3,2,34,0,3,-1,5,65,15,2,0,4,1,17995,2264,802,802,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72147,82,72247,82,72347,82,189892,68
4109935,41099,主角+2,5,主角+3,2,35,1,3,-1,5,65,15,2,0,4,1,18873,2374,841,841,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72147,82,72247,82,72347,82,213788,70
4109936,41099,主角+2,5,主角+3,2,36,2,3,-1,5,65,15,2,0,4,1,19751,2485,881,881,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72147,88,72247,88,72347,88,241107,72
4109937,41099,主角+3,6,主角,3,37,0,4,-1,5,70,15,2,0,4,1,20691,2603,923,923,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72150,88,72250,88,72350,88,276460,74
4109938,41099,主角+3,6,主角,3,38,1,4,-1,5,70,15,2,0,4,1,21632,2722,964,964,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72150,88,72250,88,72350,88,313794,76
4109939,41099,主角+3,6,主角,3,39,2,4,-1,5,70,15,2,0,4,1,22572,2840,1006,1006,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72150,88,72250,88,72350,88,353107,78
4109940,41099,主角+3,6,主角,3,40,3,4,-1,5,75,15,2,0,4,1,23513,2958,1048,1048,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72150,146,72250,146,72350,146,394447,80
4109941,41099,主角,6,主角,0,41,-1,-1,-1,6,75,15,2,0,4,1,25080,3155,1118,1118,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,-1,-1,-1,-1,-1,-1,-1,82
4109801,41098,主角,2,主角,0,1,0,3,-1,1,1,15,2,1,4,2,0,0,0,0,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72101,1,72201,1,72301,1,210,2
4109802,41098,主角,2,主角,0,2,1,3,-1,1,1,15,2,1,4,2,189,24,9,9,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72101,1,72201,1,72301,1,466,4
4109803,41098,主角,2,主角,0,3,2,3,-1,1,3,15,2,1,4,2,377,48,17,17,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72101,1,72201,1,72301,1,536,6
4109804,41098,主角,2,主角+1,0,4,0,3,-1,2,5,15,2,1,4,2,753,95,34,34,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72111,2,72211,2,72311,2,606,8
4109805,41098,主角,2,主角+1,0,5,1,3,-1,2,5,15,2,1,4,2,972,123,44,44,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72111,2,72211,2,72311,2,676,10
4109806,41098,主角,2,主角+1,0,6,2,3,-1,2,7,15,2,1,4,2,1192,150,54,54,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72111,2,72211,2,72311,2,722,12
4109807,41098,主角+1,3,主角,1,7,0,3,-1,2,10,15,2,1,4,2,1443,182,65,65,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72114,2,72214,2,72314,2,886,14
4109808,41098,主角+1,3,主角,1,8,1,3,-1,2,10,15,2,1,4,2,1693,213,76,76,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72114,2,72214,2,72314,2,1072,16
4109809,41098,主角+1,3,主角,1,9,2,3,-1,2,15,15,2,1,4,2,1944,245,87,87,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72114,2,72214,2,72314,2,1281,18
4109810,41098,主角,3,主角+1,0,10,0,3,-1,3,17,15,2,1,4,2,2697,340,121,121,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72121,3,72221,3,72321,3,1514,20
4109811,41098,主角,3,主角+1,0,11,1,3,-1,3,17,15,2,1,4,2,2979,375,133,133,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72121,3,72221,3,72321,3,2661,22
4109812,41098,主角,3,主角+1,0,12,2,3,-1,3,17,15,2,1,4,2,3261,411,146,146,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72121,3,72221,3,72321,3,3877,24
4109813,41098,主角+1,3,主角+2,1,13,0,3,-1,3,24,15,2,1,4,2,3574,450,160,160,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72124,5,72224,5,72324,5,4273,26
4109814,41098,主角+1,3,主角+2,1,14,1,3,-1,3,24,15,2,1,4,2,3888,489,174,174,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72124,5,72224,5,72324,5,4692,28
4109815,41098,主角+1,3,主角+2,1,15,2,3,-1,3,24,15,2,1,4,2,4201,529,188,188,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72124,5,72224,5,72324,5,5204,30
4109816,41098,主角+2,4,主角,2,16,0,3,-1,3,30,15,2,1,4,2,4546,572,203,203,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72127,8,72227,8,72327,8,6136,32
4109817,41098,主角+2,4,主角,2,17,1,3,-1,3,30,15,2,1,4,2,4891,616,218,218,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72127,8,72227,8,72327,8,8581,34
4109818,41098,主角+2,4,主角,2,18,2,3,-1,3,30,15,2,1,4,2,5236,659,234,234,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72127,8,72227,8,72327,8,11353,36
4109819,41098,主角,4,主角+1,0,19,0,3,-1,4,35,15,2,1,4,2,6741,848,301,301,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72131,14,72231,14,72331,14,14450,38
4109820,41098,主角,4,主角+1,0,20,1,3,-1,4,35,15,2,1,4,2,7305,919,326,326,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72131,14,72231,14,72331,14,17851,40
4109821,41098,主角,4,主角+1,0,21,2,3,-1,4,35,15,2,1,4,2,7869,990,351,351,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72131,16,72231,16,72331,16,22089,42
4109822,41098,主角+1,4,主角+2,1,22,0,3,-1,4,40,15,2,1,4,2,8496,1069,379,379,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72134,16,72234,16,72334,16,28075,44
4109823,41098,主角+1,4,主角+2,1,23,1,3,-1,4,40,15,2,1,4,2,9123,1148,407,407,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72134,16,72234,16,72334,16,34573,46
4109824,41098,主角+1,4,主角+2,1,24,2,3,-1,4,40,15,2,1,4,2,9750,1227,435,435,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72134,18,72234,18,72334,18,41606,48
4109825,41098,主角+2,5,主角,2,25,0,3,-1,4,45,15,2,1,4,2,10440,1314,466,466,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72137,18,72237,18,72337,18,49199,50
4109826,41098,主角+2,5,主角,2,26,1,3,-1,4,45,15,2,1,4,2,11130,1400,496,496,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72137,18,72237,18,72337,18,58165,52
4109827,41098,主角+2,5,主角,2,27,2,3,-1,4,50,15,2,1,4,2,11819,1487,527,527,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72137,35,72237,35,72337,35,69810,54
4109828,41098,主角,5,主角+1,0,28,0,3,-1,5,55,15,2,1,4,2,13167,1657,587,587,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72141,70,72241,70,72341,70,82224,56
4109829,41098,主角,5,主角+1,0,29,1,3,-1,5,55,15,2,1,4,2,13920,1751,621,621,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72141,70,72241,70,72341,70,95545,58
4109830,41098,主角,5,主角+1,0,30,2,3,-1,5,55,15,2,1,4,2,14672,1846,654,654,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72141,75,72241,75,72341,75,109799,60
4109831,41098,主角+1,5,主角+2,1,31,0,3,-1,5,60,15,2,1,4,2,15487,1949,691,691,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72144,75,72244,75,72344,75,126008,62
4109832,41098,主角+1,5,主角+2,1,32,1,3,-1,5,60,15,2,1,4,2,16302,2051,727,727,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72144,75,72244,75,72344,75,146107,64
4109833,41098,主角+1,5,主角+2,1,33,2,3,-1,5,60,15,2,1,4,2,17118,2154,763,763,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72144,82,72244,82,72344,82,167348,66
4109834,41098,主角+2,5,主角+3,2,34,0,3,-1,5,65,15,2,1,4,2,17995,2264,802,802,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72147,82,72247,82,72347,82,189892,68
4109835,41098,主角+2,5,主角+3,2,35,1,3,-1,5,65,15,2,1,4,2,18873,2374,841,841,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72147,82,72247,82,72347,82,213788,70
4109836,41098,主角+2,5,主角+3,2,36,2,3,-1,5,65,15,2,1,4,2,19751,2485,881,881,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72147,88,72247,88,72347,88,241107,72
4109837,41098,主角+3,6,主角,3,37,0,4,-1,5,70,15,2,1,4,2,20691,2603,923,923,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72150,88,72250,88,72350,88,276460,74
4109838,41098,主角+3,6,主角,3,38,1,4,-1,5,70,15,2,1,4,2,21632,2722,964,964,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72150,88,72250,88,72350,88,313794,76
4109839,41098,主角+3,6,主角,3,39,2,4,-1,5,70,15,2,1,4,2,22572,2840,1006,1006,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72150,88,72250,88,72350,88,353107,78
4109840,41098,主角+3,6,主角,3,40,3,4,-1,5,75,15,2,1,4,2,23513,2958,1048,1048,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,72150,146,72250,146,72350,146,394447,80
4109841,41098,主角,6,主角,0,41,-1,-1,-1,6,75,15,2,1,4,2,25080,3155,1118,1118,1,0.06,0.05,0,1.35,0,0.08,2001,2002,2003,2004,2005,-1,-1,-1,-1,-1,-1,-1,-1,82
4102901,41029,穆弘,2,穆弘,0,1,0,3,绿色品质解锁技能|63029,1,2,13,1,0,1,1,0,0,0,0,1,0.06,0.03,0,1.25,0,0.1,61029,62029,-1,-1,-1,-1,72101,1,72201,1,72301,1,210,2
4102902,41029,穆弘,2,穆弘,0,2,1,3,绿色品质解锁技能|63029,1,2,13,1,0,1,1,397,6,15,15,1,0.06,0.03,0,1.25,0,0.1,61029,62029,-1,-1,-1,-1,72101,1,72201,1,72301,1,466,4
4102903,41029,穆弘,2,穆弘,0,3,2,3,绿色品质解锁技能|63029,1,4,13,1,0,1,1,794,12,30,30,1,0.06,0.03,0,1.25,0,0.1,61029,62029,-1,-1,-1,-1,72101,1,72201,1,72301,1,536,6
4102904,41029,穆弘,2,穆弘+1,0,4,0,3,蓝色品质解锁技能|64029,2,6,13,1,0,1,1,1587,24,60,60,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72111,2,72211,2,72311,2,606,8
4102905,41029,穆弘,2,穆弘+1,0,5,1,3,蓝色品质解锁技能|64029,2,6,13,1,0,1,1,2050,31,78,78,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72111,2,72211,2,72311,2,676,10
4102906,41029,穆弘,2,穆弘+1,0,6,2,3,蓝色品质解锁技能|64029,2,8,13,1,0,1,1,2513,37,95,95,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72111,2,72211,2,72311,2,722,12
4102907,41029,穆弘+1,3,穆弘,1,7,0,3,蓝色品质解锁技能|64029,2,11,13,1,0,1,1,3042,45,115,115,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72114,2,72214,2,72314,2,886,14
4102908,41029,穆弘+1,3,穆弘,1,8,1,3,蓝色品质解锁技能|64029,2,11,13,1,0,1,1,3570,53,135,135,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72114,2,72214,2,72314,2,1072,16
4102909,41029,穆弘+1,3,穆弘,1,9,2,3,蓝色品质解锁技能|64029,2,16,13,1,0,1,1,4099,61,155,155,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,-1,-1,-1,72114,2,72214,2,72314,2,1281,18
4102910,41029,穆弘,3,穆弘+1,0,10,0,3,紫色品质解锁技能|65029,3,18,13,1,0,1,1,5686,84,215,215,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72121,3,72221,3,72321,3,1514,20
4102911,41029,穆弘,3,穆弘+1,0,11,1,3,紫色品质解锁技能|65029,3,18,13,1,0,1,1,6281,93,238,238,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72121,3,72221,3,72321,3,2661,22
4102912,41029,穆弘,3,穆弘+1,0,12,2,3,紫色品质解锁技能|65029,3,18,13,1,0,1,1,6876,102,260,260,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72121,3,72221,3,72321,3,3877,24
4102913,41029,穆弘+1,3,穆弘+2,1,13,0,3,紫色品质解锁技能|65029,3,25,13,1,0,1,1,7537,111,285,285,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72124,5,72224,5,72324,5,4273,26
4102914,41029,穆弘+1,3,穆弘+2,1,14,1,3,紫色品质解锁技能|65029,3,25,13,1,0,1,1,8198,121,310,310,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72124,5,72224,5,72324,5,4692,28
4102915,41029,穆弘+1,3,穆弘+2,1,15,2,3,紫色品质解锁技能|65029,3,25,13,1,0,1,1,8859,131,335,335,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72124,5,72224,5,72324,5,5204,30
4102916,41029,穆弘+2,4,穆弘,2,16,0,3,紫色品质解锁技能|65029,3,31,13,1,0,1,1,9586,142,363,363,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72127,8,72227,8,72327,8,6136,32
4102917,41029,穆弘+2,4,穆弘,2,17,1,3,紫色品质解锁技能|65029,3,31,13,1,0,1,1,10314,152,390,390,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72127,8,72227,8,72327,8,8581,34
4102918,41029,穆弘+2,4,穆弘,2,18,2,3,紫色品质解锁技能|65029,3,31,13,1,0,1,1,11041,163,417,417,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,-1,-1,72127,8,72227,8,72327,8,11353,36
4102919,41029,穆弘,4,穆弘+1,0,19,0,3,橙色品质强化技能|64129,4,36,13,1,0,1,1,14214,210,537,537,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72131,14,72231,14,72331,14,14450,38
4102920,41029,穆弘,4,穆弘+1,0,20,1,3,橙色品质强化技能|64129,4,36,13,1,0,1,1,15404,227,582,582,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72131,14,72231,14,72331,14,17851,40
4102921,41029,穆弘,4,穆弘+1,0,21,2,3,橙色品质强化技能|64129,4,36,13,1,0,1,1,16594,245,627,627,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72131,16,72231,16,72331,16,22089,42
4102922,41029,穆弘+1,4,穆弘+2,1,22,0,3,橙色品质强化技能|64129,4,41,13,1,0,1,1,17916,264,677,677,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72134,16,72234,16,72334,16,28075,44
4102923,41029,穆弘+1,4,穆弘+2,1,23,1,3,橙色品质强化技能|64129,4,41,13,1,0,1,1,19239,284,727,727,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72134,16,72234,16,72334,16,34573,46
4102924,41029,穆弘+1,4,穆弘+2,1,24,2,3,橙色品质强化技能|64129,4,41,13,1,0,1,1,20561,303,777,777,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72134,18,72234,18,72334,18,41606,48
4102925,41029,穆弘+2,5,穆弘,2,25,0,3,橙色品质强化技能|64129,4,46,13,1,0,1,1,22015,325,832,832,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72137,18,72237,18,72337,18,49199,50
4102926,41029,穆弘+2,5,穆弘,2,26,1,3,橙色品质强化技能|64129,4,46,13,1,0,1,1,23470,346,887,887,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72137,18,72237,18,72337,18,58165,52
4102927,41029,穆弘+2,5,穆弘,2,27,2,3,橙色品质强化技能|64129,4,51,13,1,0,1,1,24924,368,942,942,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64029,65029,-1,72137,35,72237,35,72337,35,69810,54
4102928,41029,穆弘,5,穆弘+1,0,28,0,3,红色品质强化技能|64229,5,56,13,1,0,1,1,27767,409,1049,1049,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72141,70,72241,70,72341,70,82224,56
4102929,41029,穆弘,5,穆弘+1,0,29,1,3,红色品质强化技能|64229,5,56,13,1,0,1,1,29353,433,1109,1109,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72141,70,72241,70,72341,70,95545,58
4102930,41029,穆弘,5,穆弘+1,0,30,2,3,红色品质强化技能|64229,5,56,13,1,0,1,1,30940,456,1169,1169,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72141,75,72241,75,72341,75,109799,60
4102931,41029,穆弘+1,5,穆弘+2,1,31,0,3,红色品质强化技能|64229,5,61,13,1,0,1,1,32659,481,1234,1234,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72144,75,72244,75,72344,75,126008,62
4102932,41029,穆弘+1,5,穆弘+2,1,32,1,3,红色品质强化技能|64229,5,61,13,1,0,1,1,34378,507,1299,1299,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72144,75,72244,75,72344,75,146107,64
4102933,41029,穆弘+1,5,穆弘+2,1,33,2,3,红色品质强化技能|64229,5,61,13,1,0,1,1,36097,532,1364,1364,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72144,82,72244,82,72344,82,167348,66
4102934,41029,穆弘+2,5,穆弘+3,2,34,0,3,红色品质强化技能|64229,5,66,13,1,0,1,1,37948,559,1434,1434,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72147,82,72247,82,72347,82,189892,68
4102935,41029,穆弘+2,5,穆弘+3,2,35,1,3,红色品质强化技能|64229,5,66,13,1,0,1,1,39799,587,1504,1504,1,0.06,0.03,0,1.25,0,0.1,61029,62029,63029,64129,65029,-1,72147,82,72247,82,72347,82,213788,70
