id,id2,hero,type,level,fateHero,value,hpCoe,atkCoe,pddCoe,mddCoe,skill,dec,nextDec,name
41001216,410014100916,41001,2,6,41009,16,0,0.14,0,0,-1,"获得阮小七,攻击+14%",觉醒至紫色 攻击+16%,志同道合
41001219,410014100919,41001,2,7,41009,19,0,0.16,0,0,-1,"获得阮小七,攻击+16%",觉醒至紫色+1 攻击+18%,志同道合
41001222,410014100922,41001,2,8,41009,22,0,0.18,0,0,-1,"获得阮小七,攻击+18%",觉醒至紫色+2 攻击+20%,志同道合
41001225,410014100925,41001,2,9,41009,25,0,0.2,0,0,-1,"获得阮小七,攻击+20%",觉醒至橙色 攻击+22%,志同道合
41001228,410014100928,41001,2,10,41009,28,0,0.22,0,0,-1,"获得阮小七,攻击+22%",觉醒至橙色+1 攻击+24%,志同道合
41001231,410014100931,41001,2,11,41009,31,0,0.24,0,0,-1,"获得阮小七,攻击+24%",觉醒至橙色+2 攻击+26%,志同道合
41001234,410014100934,41001,2,12,41009,34,0,0.26,0,0,-1,"获得阮小七,攻击+26%",觉醒至橙色+3 攻击+28%,志同道合
41001237,410014100937,41001,2,13,41009,37,0,0.28,0,0,-1,"获得阮小七,攻击+28%",觉醒至红色 攻击+30%,志同道合
41001241,410014100941,41001,2,14,41009,41,0,0.3,0,0,-1,"获得阮小七,攻击+30%",-1,志同道合
41001301,410014100501,41001,3,1,41005,1,0,0,0.05,0.04,-1,"获得呼延灼,防御+5%",觉醒至绿色 防御+6%,不分伯仲
41001304,410014100504,41001,3,2,41005,4,0,0,0.06,0.06,-1,"获得呼延灼,防御+6%",觉醒至绿色+1 防御+8%,不分伯仲
41001307,410014100507,41001,3,3,41005,7,0,0,0.08,0.08,-1,"获得呼延灼,防御+8%",觉醒至蓝色 防御+10%,不分伯仲
41001310,410014100510,41001,3,4,41005,10,0,0,0.1,0.1,-1,"获得呼延灼,防御+10%",觉醒至蓝色+1 防御+12%,不分伯仲
41001313,410014100513,41001,3,5,41005,13,0,0,0.12,0.12,-1,"获得呼延灼,防御+12%",觉醒至蓝色+2 防御+14%,不分伯仲
41001316,410014100516,41001,3,6,41005,16,0,0,0.14,0.14,-1,"获得呼延灼,防御+14%",觉醒至紫色 防御+16%,不分伯仲
41001319,410014100519,41001,3,7,41005,19,0,0,0.16,0.16,-1,"获得呼延灼,防御+16%",觉醒至紫色+1 防御+18%,不分伯仲
41001322,410014100522,41001,3,8,41005,22,0,0,0.18,0.18,-1,"获得呼延灼,防御+18%",觉醒至紫色+2 防御+20%,不分伯仲
41001325,410014100525,41001,3,9,41005,25,0,0,0.2,0.2,-1,"获得呼延灼,防御+20%",觉醒至橙色 防御+22%,不分伯仲
41001328,410014100528,41001,3,10,41005,28,0,0,0.22,0.22,-1,"获得呼延灼,防御+22%",觉醒至橙色+1 防御+24%,不分伯仲
41001331,410014100531,41001,3,11,41005,31,0,0,0.24,0.24,-1,"获得呼延灼,防御+24%",觉醒至橙色+2 防御+26%,不分伯仲
41001334,410014100534,41001,3,12,41005,34,0,0,0.26,0.26,-1,"获得呼延灼,防御+26%",觉醒至橙色+3 防御+28%,不分伯仲
41001337,410014100537,41001,3,13,41005,37,0,0,0.28,0.28,-1,"获得呼延灼,防御+28%",觉醒至红色 防御+30%,不分伯仲
41001341,410014100541,41001,3,14,41005,41,0,0,0.3,0.3,-1,"获得呼延灼,防御+30%",-1,不分伯仲
41001401,410014000001,41001,4,1,-1,1,0.1,0,0,0,-1,气血+10%,气血+10%,骐骥驰骋
41001501,410015000001,41001,5,1,-1,1,0,0.1,0,0,-1,攻击+10%,攻击+10%,了然于胸
41001601,410016000001,41001,6,1,-1,1,0,0.0001,0,0,龙象击|真·龙象击,激活天命，缘分等级+1,激活天命，缘分等级+1,挥戈退日
41002101,410024100101,41002,1,1,41001,1,0.05,0,0,0,-1,"获得鲁智深,气血+5%",觉醒至绿色 气血+6%,志同道合
41002104,410024100104,41002,1,2,41001,4,0.06,0,0,0,-1,"获得鲁智深,气血+6%",觉醒至绿色+1 气血+8%,志同道合
41002107,410024100107,41002,1,3,41001,7,0.08,0,0,0,-1,"获得鲁智深,气血+8%",觉醒至蓝色 气血+10%,志同道合
41002110,410024100110,41002,1,4,41001,10,0.1,0,0,0,-1,"获得鲁智深,气血+10%",觉醒至蓝色+1 气血+12%,志同道合
41002113,410024100113,41002,1,5,41001,13,0.12,0,0,0,-1,"获得鲁智深,气血+12%",觉醒至蓝色+2 气血+14%,志同道合
41002116,410024100116,41002,1,6,41001,16,0.14,0,0,0,-1,"获得鲁智深,气血+14%",觉醒至紫色 气血+16%,志同道合
41002119,410024100119,41002,1,7,41001,19,0.16,0,0,0,-1,"获得鲁智深,气血+16%",觉醒至紫色+1 气血+18%,志同道合
41002122,410024100122,41002,1,8,41001,22,0.18,0,0,0,-1,"获得鲁智深,气血+18%",觉醒至紫色+2 气血+20%,志同道合
41002125,410024100125,41002,1,9,41001,25,0.2,0,0,0,-1,"获得鲁智深,气血+20%",觉醒至橙色 气血+22%,志同道合
41002128,410024100128,41002,1,10,41001,28,0.22,0,0,0,-1,"获得鲁智深,气血+22%",觉醒至橙色+1 气血+24%,志同道合
41002131,410024100131,41002,1,11,41001,31,0.24,0,0,0,-1,"获得鲁智深,气血+24%",觉醒至橙色+2 气血+26%,志同道合
41002134,410024100134,41002,1,12,41001,34,0.26,0,0,0,-1,"获得鲁智深,气血+26%",觉醒至橙色+3 气血+28%,志同道合
41002137,410024100137,41002,1,13,41001,37,0.28,0,0,0,-1,"获得鲁智深,气血+28%",觉醒至红色 气血+30%,志同道合
41002141,410024100141,41002,1,14,41001,41,0.3,0,0,0,-1,"获得鲁智深,气血+30%",-1,志同道合
41002201,410024101101,41002,2,1,41011,1,0,0.05,0,0,-1,"获得石秀,攻击+5%",觉醒至绿色 攻击+6%,患难之交
41002204,410024101104,41002,2,2,41011,4,0,0.06,0,0,-1,"获得石秀,攻击+6%",觉醒至绿色+1 攻击+8%,患难之交
41002207,410024101107,41002,2,3,41011,7,0,0.08,0,0,-1,"获得石秀,攻击+8%",觉醒至蓝色 攻击+10%,患难之交
41002210,410024101110,41002,2,4,41011,10,0,0.1,0,0,-1,"获得石秀,攻击+10%",觉醒至蓝色+1 攻击+12%,患难之交
41002213,410024101113,41002,2,5,41011,13,0,0.12,0,0,-1,"获得石秀,攻击+12%",觉醒至蓝色+2 攻击+14%,患难之交
41002216,410024101116,41002,2,6,41011,16,0,0.14,0,0,-1,"获得石秀,攻击+14%",觉醒至紫色 攻击+16%,患难之交
41002219,410024101119,41002,2,7,41011,19,0,0.16,0,0,-1,"获得石秀,攻击+16%",觉醒至紫色+1 攻击+18%,患难之交
41002222,410024101122,41002,2,8,41011,22,0,0.18,0,0,-1,"获得石秀,攻击+18%",觉醒至紫色+2 攻击+20%,患难之交
41002225,410024101125,41002,2,9,41011,25,0,0.2,0,0,-1,"获得石秀,攻击+20%",觉醒至橙色 攻击+22%,患难之交
41002228,410024101128,41002,2,10,41011,28,0,0.22,0,0,-1,"获得石秀,攻击+22%",觉醒至橙色+1 攻击+24%,患难之交
41002231,410024101131,41002,2,11,41011,31,0,0.24,0,0,-1,"获得石秀,攻击+24%",觉醒至橙色+2 攻击+26%,患难之交
41002234,410024101134,41002,2,12,41011,34,0,0.26,0,0,-1,"获得石秀,攻击+26%",觉醒至橙色+3 攻击+28%,患难之交
41002237,410024101137,41002,2,13,41011,37,0,0.28,0,0,-1,"获得石秀,攻击+28%",觉醒至红色 攻击+30%,患难之交
41002241,410024101141,41002,2,14,41011,41,0,0.3,0,0,-1,"获得石秀,攻击+30%",-1,患难之交
41002301,410024500201,41002,3,1,45002,1,0,0,0.05,0.04,-1,"获得高俅,防御+5%",觉醒至绿色 防御+6%,恨之入骨
41002304,410024500204,41002,3,2,45002,4,0,0,0.06,0.06,-1,"获得高俅,防御+6%",觉醒至绿色+1 防御+8%,恨之入骨
41002307,410024500207,41002,3,3,45002,7,0,0,0.08,0.08,-1,"获得高俅,防御+8%",觉醒至蓝色 防御+10%,恨之入骨
41002310,410024500210,41002,3,4,45002,10,0,0,0.1,0.1,-1,"获得高俅,防御+10%",觉醒至蓝色+1 防御+12%,恨之入骨
41002313,410024500213,41002,3,5,45002,13,0,0,0.12,0.12,-1,"获得高俅,防御+12%",觉醒至蓝色+2 防御+14%,恨之入骨
41002316,410024500216,41002,3,6,45002,16,0,0,0.14,0.14,-1,"获得高俅,防御+14%",觉醒至紫色 防御+16%,恨之入骨
41002319,410024500219,41002,3,7,45002,19,0,0,0.16,0.16,-1,"获得高俅,防御+16%",觉醒至紫色+1 防御+18%,恨之入骨
41002322,410024500222,41002,3,8,45002,22,0,0,0.18,0.18,-1,"获得高俅,防御+18%",觉醒至紫色+2 防御+20%,恨之入骨
41002325,410024500225,41002,3,9,45002,25,0,0,0.2,0.2,-1,"获得高俅,防御+20%",觉醒至橙色 防御+22%,恨之入骨
41002328,410024500228,41002,3,10,45002,28,0,0,0.22,0.22,-1,"获得高俅,防御+22%",觉醒至橙色+1 防御+24%,恨之入骨
41002331,410024500231,41002,3,11,45002,31,0,0,0.24,0.24,-1,"获得高俅,防御+24%",觉醒至橙色+2 防御+26%,恨之入骨
41002334,410024500234,41002,3,12,45002,34,0,0,0.26,0.26,-1,"获得高俅,防御+26%",觉醒至橙色+3 防御+28%,恨之入骨
41002337,410024500237,41002,3,13,45002,37,0,0,0.28,0.28,-1,"获得高俅,防御+28%",觉醒至红色 防御+30%,恨之入骨
41002341,410024500241,41002,3,14,45002,41,0,0,0.3,0.3,-1,"获得高俅,防御+30%",-1,恨之入骨
41002401,410024000001,41002,4,1,-1,1,0.1,0,0,0,-1,气血+10%,气血+10%,骐骥驰骋
41002501,410025000001,41002,5,1,-1,1,0,0.1,0,0,-1,攻击+10%,攻击+10%,了然于胸
41002601,410026000001,41002,6,1,-1,1,0,0.0001,0,0,九龙吟|真·九龙吟,激活天命，缘分等级+1,激活天命，缘分等级+1,挥戈退日
41003101,410034101401,41003,1,1,41014,1,0.05,0,0,0,-1,"获得花荣,气血+5%",觉醒至绿色 气血+6%,情同手足
41003104,410034101404,41003,1,2,41014,4,0.06,0,0,0,-1,"获得花荣,气血+6%",觉醒至绿色+1 气血+8%,情同手足
41003107,410034101407,41003,1,3,41014,7,0.08,0,0,0,-1,"获得花荣,气血+8%",觉醒至蓝色 气血+10%,情同手足
41003110,410034101410,41003,1,4,41014,10,0.1,0,0,0,-1,"获得花荣,气血+10%",觉醒至蓝色+1 气血+12%,情同手足
41003113,410034101413,41003,1,5,41014,13,0.12,0,0,0,-1,"获得花荣,气血+12%",觉醒至蓝色+2 气血+14%,情同手足
41003116,410034101416,41003,1,6,41014,16,0.14,0,0,0,-1,"获得花荣,气血+14%",觉醒至紫色 气血+16%,情同手足
41003119,410034101419,41003,1,7,41014,19,0.16,0,0,0,-1,"获得花荣,气血+16%",觉醒至紫色+1 气血+18%,情同手足
41003122,410034101422,41003,1,8,41014,22,0.18,0,0,0,-1,"获得花荣,气血+18%",觉醒至紫色+2 气血+20%,情同手足
41003125,410034101425,41003,1,9,41014,25,0.2,0,0,0,-1,"获得花荣,气血+20%",觉醒至橙色 气血+22%,情同手足
41003128,410034101428,41003,1,10,41014,28,0.22,0,0,0,-1,"获得花荣,气血+22%",觉醒至橙色+1 气血+24%,情同手足
41003131,410034101431,41003,1,11,41014,31,0.24,0,0,0,-1,"获得花荣,气血+24%",觉醒至橙色+2 气血+26%,情同手足
41003134,410034101434,41003,1,12,41014,34,0.26,0,0,0,-1,"获得花荣,气血+26%",觉醒至橙色+3 气血+28%,情同手足
41003137,410034101437,41003,1,13,41014,37,0.28,0,0,0,-1,"获得花荣,气血+28%",觉醒至红色 气血+30%,情同手足
41003141,410034101441,41003,1,14,41014,41,0.3,0,0,0,-1,"获得花荣,气血+30%",-1,情同手足
41003201,410034100801,41003,2,1,41008,1,0,0.05,0,0,-1,"获得李逵,攻击+5%",觉醒至绿色 攻击+6%,志同道合
41003204,410034100804,41003,2,2,41008,4,0,0.06,0,0,-1,"获得李逵,攻击+6%",觉醒至绿色+1 攻击+8%,志同道合
41003207,410034100807,41003,2,3,41008,7,0,0.08,0,0,-1,"获得李逵,攻击+8%",觉醒至蓝色 攻击+10%,志同道合
41003210,410034100810,41003,2,4,41008,10,0,0.1,0,0,-1,"获得李逵,攻击+10%",觉醒至蓝色+1 攻击+12%,志同道合
41003213,410034100813,41003,2,5,41008,13,0,0.12,0,0,-1,"获得李逵,攻击+12%",觉醒至蓝色+2 攻击+14%,志同道合
41003216,410034100816,41003,2,6,41008,16,0,0.14,0,0,-1,"获得李逵,攻击+14%",觉醒至紫色 攻击+16%,志同道合
41003219,410034100819,41003,2,7,41008,19,0,0.16,0,0,-1,"获得李逵,攻击+16%",觉醒至紫色+1 攻击+18%,志同道合
41003222,410034100822,41003,2,8,41008,22,0,0.18,0,0,-1,"获得李逵,攻击+18%",觉醒至紫色+2 攻击+20%,志同道合
41003225,410034100825,41003,2,9,41008,25,0,0.2,0,0,-1,"获得李逵,攻击+20%",觉醒至橙色 攻击+22%,志同道合
41003228,410034100828,41003,2,10,41008,28,0,0.22,0,0,-1,"获得李逵,攻击+22%",觉醒至橙色+1 攻击+24%,志同道合
41003231,410034100831,41003,2,11,41008,31,0,0.24,0,0,-1,"获得李逵,攻击+24%",觉醒至橙色+2 攻击+26%,志同道合
41003234,410034100834,41003,2,12,41008,34,0,0.26,0,0,-1,"获得李逵,攻击+26%",觉醒至橙色+3 攻击+28%,志同道合
41003237,410034100837,41003,2,13,41008,37,0,0.28,0,0,-1,"获得李逵,攻击+28%",觉醒至红色 攻击+30%,志同道合
41003241,410034100841,41003,2,14,41008,41,0,0.3,0,0,-1,"获得李逵,攻击+30%",-1,志同道合
41003301,410034102701,41003,3,1,41027,1,0,0,0.05,0.04,-1,"获得李师师,防御+5%",觉醒至绿色 防御+6%,久闻其名
41003304,410034102704,41003,3,2,41027,4,0,0,0.06,0.06,-1,"获得李师师,防御+6%",觉醒至绿色+1 防御+8%,久闻其名
41003307,410034102707,41003,3,3,41027,7,0,0,0.08,0.08,-1,"获得李师师,防御+8%",觉醒至蓝色 防御+10%,久闻其名
41003310,410034102710,41003,3,4,41027,10,0,0,0.1,0.1,-1,"获得李师师,防御+10%",觉醒至蓝色+1 防御+12%,久闻其名
41003313,410034102713,41003,3,5,41027,13,0,0,0.12,0.12,-1,"获得李师师,防御+12%",觉醒至蓝色+2 防御+14%,久闻其名
41003316,410034102716,41003,3,6,41027,16,0,0,0.14,0.14,-1,"获得李师师,防御+14%",觉醒至紫色 防御+16%,久闻其名
41003319,410034102719,41003,3,7,41027,19,0,0,0.16,0.16,-1,"获得李师师,防御+16%",觉醒至紫色+1 防御+18%,久闻其名
41003322,410034102722,41003,3,8,41027,22,0,0,0.18,0.18,-1,"获得李师师,防御+18%",觉醒至紫色+2 防御+20%,久闻其名
41003325,410034102725,41003,3,9,41027,25,0,0,0.2,0.2,-1,"获得李师师,防御+20%",觉醒至橙色 防御+22%,久闻其名
41003328,410034102728,41003,3,10,41027,28,0,0,0.22,0.22,-1,"获得李师师,防御+22%",觉醒至橙色+1 防御+24%,久闻其名
41003331,410034102731,41003,3,11,41027,31,0,0,0.24,0.24,-1,"获得李师师,防御+24%",觉醒至橙色+2 防御+26%,久闻其名
41003334,410034102734,41003,3,12,41027,34,0,0,0.26,0.26,-1,"获得李师师,防御+26%",觉醒至橙色+3 防御+28%,久闻其名
41003337,410034102737,41003,3,13,41027,37,0,0,0.28,0.28,-1,"获得李师师,防御+28%",觉醒至红色 防御+30%,久闻其名
41003341,410034102741,41003,3,14,41027,41,0,0,0.3,0.3,-1,"获得李师师,防御+30%",-1,久闻其名
41003401,410034000001,41003,4,1,-1,1,0.1,0,0,0,-1,气血+10%,气血+10%,骐骥驰骋
41003501,410035000001,41003,5,1,-1,1,0,0.1,0,0,-1,攻击+10%,攻击+10%,了然于胸
41003601,410036000001,41003,6,1,-1,1,0,0.0001,0,0,麒麟火|真·麒麟火,激活天命，缘分等级+1,激活天命，缘分等级+1,挥戈退日
41004101,410044101501,41004,1,1,41015,1,0.05,0,0,0,-1,"获得柴进,气血+5%",觉醒至绿色 气血+6%,厚礼相待
41004104,410044101504,41004,1,2,41015,4,0.06,0,0,0,-1,"获得柴进,气血+6%",觉醒至绿色+1 气血+8%,厚礼相待
41004107,410044101507,41004,1,3,41015,7,0.08,0,0,0,-1,"获得柴进,气血+8%",觉醒至蓝色 气血+10%,厚礼相待
41004110,410044101510,41004,1,4,41015,10,0.1,0,0,0,-1,"获得柴进,气血+10%",觉醒至蓝色+1 气血+12%,厚礼相待
41004113,410044101513,41004,1,5,41015,13,0.12,0,0,0,-1,"获得柴进,气血+12%",觉醒至蓝色+2 气血+14%,厚礼相待
41004116,410044101516,41004,1,6,41015,16,0.14,0,0,0,-1,"获得柴进,气血+14%",觉醒至紫色 气血+16%,厚礼相待
41004119,410044101519,41004,1,7,41015,19,0.16,0,0,0,-1,"获得柴进,气血+16%",觉醒至紫色+1 气血+18%,厚礼相待
41004122,410044101522,41004,1,8,41015,22,0.18,0,0,0,-1,"获得柴进,气血+18%",觉醒至紫色+2 气血+20%,厚礼相待
41004125,410044101525,41004,1,9,41015,25,0.2,0,0,0,-1,"获得柴进,气血+20%",觉醒至橙色 气血+22%,厚礼相待
41004128,410044101528,41004,1,10,41015,28,0.22,0,0,0,-1,"获得柴进,气血+22%",觉醒至橙色+1 气血+24%,厚礼相待
41004131,410044101531,41004,1,11,41015,31,0.24,0,0,0,-1,"获得柴进,气血+24%",觉醒至橙色+2 气血+26%,厚礼相待
41004134,410044101534,41004,1,12,41015,34,0.26,0,0,0,-1,"获得柴进,气血+26%",觉醒至橙色+3 气血+28%,厚礼相待
41004137,410044101537,41004,1,13,41015,37,0.28,0,0,0,-1,"获得柴进,气血+28%",觉醒至红色 气血+30%,厚礼相待
41004141,410044101541,41004,1,14,41015,41,0.3,0,0,0,-1,"获得柴进,气血+30%",-1,厚礼相待
41004201,410044101301,41004,2,1,41013,1,0,0.05,0,0,-1,"获得公孙胜,攻击+5%",觉醒至绿色 攻击+6%,毕恭毕敬
41004204,410044101304,41004,2,2,41013,4,0,0.06,0,0,-1,"获得公孙胜,攻击+6%",觉醒至绿色+1 攻击+8%,毕恭毕敬
41004207,410044101307,41004,2,3,41013,7,0,0.08,0,0,-1,"获得公孙胜,攻击+8%",觉醒至蓝色 攻击+10%,毕恭毕敬
41004210,410044101310,41004,2,4,41013,10,0,0.1,0,0,-1,"获得公孙胜,攻击+10%",觉醒至蓝色+1 攻击+12%,毕恭毕敬
41004213,410044101313,41004,2,5,41013,13,0,0.12,0,0,-1,"获得公孙胜,攻击+12%",觉醒至蓝色+2 攻击+14%,毕恭毕敬
41004216,410044101316,41004,2,6,41013,16,0,0.14,0,0,-1,"获得公孙胜,攻击+14%",觉醒至紫色 攻击+16%,毕恭毕敬
41004219,410044101319,41004,2,7,41013,19,0,0.16,0,0,-1,"获得公孙胜,攻击+16%",觉醒至紫色+1 攻击+18%,毕恭毕敬
41004222,410044101322,41004,2,8,41013,22,0,0.18,0,0,-1,"获得公孙胜,攻击+18%",觉醒至紫色+2 攻击+20%,毕恭毕敬
41004225,410044101325,41004,2,9,41013,25,0,0.2,0,0,-1,"获得公孙胜,攻击+20%",觉醒至橙色 攻击+22%,毕恭毕敬
41004228,410044101328,41004,2,10,41013,28,0,0.22,0,0,-1,"获得公孙胜,攻击+22%",觉醒至橙色+1 攻击+24%,毕恭毕敬
41004231,410044101331,41004,2,11,41013,31,0,0.24,0,0,-1,"获得公孙胜,攻击+24%",觉醒至橙色+2 攻击+26%,毕恭毕敬
41004234,410044101334,41004,2,12,41013,34,0,0.26,0,0,-1,"获得公孙胜,攻击+26%",觉醒至橙色+3 攻击+28%,毕恭毕敬
41004237,410044101337,41004,2,13,41013,37,0,0.28,0,0,-1,"获得公孙胜,攻击+28%",觉醒至红色 攻击+30%,毕恭毕敬
41004241,410044101341,41004,2,14,41013,41,0,0.3,0,0,-1,"获得公孙胜,攻击+30%",-1,毕恭毕敬
41004301,410044104101,41004,3,1,41041,1,0,0,0.05,0.04,-1,"获得暴走阮小七,防御+5%",觉醒至绿色 防御+6%,志同道合
41004304,410044104104,41004,3,2,41041,4,0,0,0.06,0.06,-1,"获得暴走阮小七,防御+6%",觉醒至绿色+1 防御+8%,志同道合
41004307,410044104107,41004,3,3,41041,7,0,0,0.08,0.08,-1,"获得暴走阮小七,防御+8%",觉醒至蓝色 防御+10%,志同道合
41004310,410044104110,41004,3,4,41041,10,0,0,0.1,0.1,-1,"获得暴走阮小七,防御+10%",觉醒至蓝色+1 防御+12%,志同道合
41004313,410044104113,41004,3,5,41041,13,0,0,0.12,0.12,-1,"获得暴走阮小七,防御+12%",觉醒至蓝色+2 防御+14%,志同道合
41004316,410044104116,41004,3,6,41041,16,0,0,0.14,0.14,-1,"获得暴走阮小七,防御+14%",觉醒至紫色 防御+16%,志同道合
41004319,410044104119,41004,3,7,41041,19,0,0,0.16,0.16,-1,"获得暴走阮小七,防御+16%",觉醒至紫色+1 防御+18%,志同道合
41004322,410044104122,41004,3,8,41041,22,0,0,0.18,0.18,-1,"获得暴走阮小七,防御+18%",觉醒至紫色+2 防御+20%,志同道合
41004325,410044104125,41004,3,9,41041,25,0,0,0.2,0.2,-1,"获得暴走阮小七,防御+20%",觉醒至橙色 防御+22%,志同道合
41004328,410044104128,41004,3,10,41041,28,0,0,0.22,0.22,-1,"获得暴走阮小七,防御+22%",觉醒至橙色+1 防御+24%,志同道合
41004331,410044104131,41004,3,11,41041,31,0,0,0.24,0.24,-1,"获得暴走阮小七,防御+24%",觉醒至橙色+2 防御+26%,志同道合
41004334,410044104134,41004,3,12,41041,34,0,0,0.26,0.26,-1,"获得暴走阮小七,防御+26%",觉醒至橙色+3 防御+28%,志同道合
41004337,410044104137,41004,3,13,41041,37,0,0,0.28,0.28,-1,"获得暴走阮小七,防御+28%",觉醒至红色 防御+30%,志同道合
41004341,410044104141,41004,3,14,41041,41,0,0,0.3,0.3,-1,"获得暴走阮小七,防御+30%",-1,志同道合
41004401,410044000001,41004,4,1,-1,1,0.1,0,0,0,-1,气血+10%,气血+10%,骐骥驰骋
41004501,410045000001,41004,5,1,-1,1,0,0.1,0,0,-1,攻击+10%,攻击+10%,了然于胸
41004601,410046000001,41004,6,1,-1,1,0,0.0001,0,0,霸王斩|真·霸王斩,激活天命，缘分等级+1,激活天命，缘分等级+1,挥戈退日
41005101,410054101401,41005,1,1,41014,1,0.05,0,0,0,-1,"获得花荣,气血+5%",觉醒至绿色 气血+6%,不分伯仲
41005104,410054101404,41005,1,2,41014,4,0.06,0,0,0,-1,"获得花荣,气血+6%",觉醒至绿色+1 气血+8%,不分伯仲
41005107,410054101407,41005,1,3,41014,7,0.08,0,0,0,-1,"获得花荣,气血+8%",觉醒至蓝色 气血+10%,不分伯仲
41005110,410054101410,41005,1,4,41014,10,0.1,0,0,0,-1,"获得花荣,气血+10%",觉醒至蓝色+1 气血+12%,不分伯仲
41005113,410054101413,41005,1,5,41014,13,0.12,0,0,0,-1,"获得花荣,气血+12%",觉醒至蓝色+2 气血+14%,不分伯仲
41005116,410054101416,41005,1,6,41014,16,0.14,0,0,0,-1,"获得花荣,气血+14%",觉醒至紫色 气血+16%,不分伯仲
41005119,410054101419,41005,1,7,41014,19,0.16,0,0,0,-1,"获得花荣,气血+16%",觉醒至紫色+1 气血+18%,不分伯仲
41005122,410054101422,41005,1,8,41014,22,0.18,0,0,0,-1,"获得花荣,气血+18%",觉醒至紫色+2 气血+20%,不分伯仲
41005125,410054101425,41005,1,9,41014,25,0.2,0,0,0,-1,"获得花荣,气血+20%",觉醒至橙色 气血+22%,不分伯仲
41005128,410054101428,41005,1,10,41014,28,0.22,0,0,0,-1,"获得花荣,气血+22%",觉醒至橙色+1 气血+24%,不分伯仲
41005131,410054101431,41005,1,11,41014,31,0.24,0,0,0,-1,"获得花荣,气血+24%",觉醒至橙色+2 气血+26%,不分伯仲
41005134,410054101434,41005,1,12,41014,34,0.26,0,0,0,-1,"获得花荣,气血+26%",觉醒至橙色+3 气血+28%,不分伯仲
41005137,410054101437,41005,1,13,41014,37,0.28,0,0,0,-1,"获得花荣,气血+28%",觉醒至红色 气血+30%,不分伯仲
41005141,410054101441,41005,1,14,41014,41,0.3,0,0,0,-1,"获得花荣,气血+30%",-1,不分伯仲
41005201,410054102901,41005,2,1,41029,1,0,0.05,0,0,-1,"获得穆弘,攻击+5%",觉醒至绿色 攻击+6%,志同道合
41005204,410054102904,41005,2,2,41029,4,0,0.06,0,0,-1,"获得穆弘,攻击+6%",觉醒至绿色+1 攻击+8%,志同道合
41005207,410054102907,41005,2,3,41029,7,0,0.08,0,0,-1,"获得穆弘,攻击+8%",觉醒至蓝色 攻击+10%,志同道合
41005210,410054102910,41005,2,4,41029,10,0,0.1,0,0,-1,"获得穆弘,攻击+10%",觉醒至蓝色+1 攻击+12%,志同道合
