id,name,disTyp,distance,preTagTyp,preTyp,preOrdTyp,actTyp,moveTyp,aniId,preResId,preAni,actResId,actAni
65013,公孙胜解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61014,花荣普攻,1,-1,1,3,2,2,3,atk,11141,atkeffe,19001,shoujiPT
61914,花荣多攻,1,-1,1,3,2,2,3,atks,11142,atkseffe,19001,shoujiPT
62014,花荣技能,1,-1,1,3,2,3,3,manuSkl,11143,manuSkleffe,19001,shoujiPT
63014,花荣追击技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64014,花荣状态技,1,-1,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65014,花荣解锁技,1,-1,1,3,5,2,2,victory,19998,buffeffe,19006,kong
61015,柴进普攻,1,-1,1,3,2,2,3,atk,11151,atkeffe,19001,shoujiPT
61915,柴进多攻,1,-1,1,3,2,2,3,atks,11152,atkseffe,19001,shoujiPT
62015,柴进技能,1,-1,1,3,2,3,3,manuSkl,11153,manuSkleffe,19001,shoujiPT
63015,柴进追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64015,柴进状态技,1,-1,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65015,柴进解锁技,1,-1,1,3,5,2,2,victory,19998,buffeffe,19006,kong
61016,杨志普攻,3,180,1,3,5,2,2,atk,11161,atkeffe,19001,shoujiPT
61916,杨志普攻,3,180,1,3,5,2,2,atks,11162,atkseffe,19001,shoujiPT
62016,杨志技能,3,230,1,3,5,2,1,manuSkl,11163,manuSkleffe,19001,shoujiPT
63016,杨志追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64016,杨志状态技,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65016,杨志解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61017,徐宁普攻,3,230,1,3,5,2,2,atk,11171,atkeffe,19001,shoujiPT
61917,徐宁多攻,3,230,1,3,5,2,2,atks,11172,atkseffe,19001,shoujiPT
62017,徐宁技能,3,350,1,3,5,2,2,manuSkl,11173,manuSkleffe,19001,shoujiPT
63017,徐宁追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64017,徐宁状态技,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65017,徐宁解锁技,3,230,1,3,5,2,2,atk,11171,atkeffe,19001,shoujiPT
61020,阮小五普攻,1,400,1,3,2,2,3,atk,11201,atkeffe,19001,shoujiPT
61920,阮小五多攻,1,400,1,3,2,2,3,atks,11202,atkseffe,19001,shoujiPT
62020,阮小五技能,1,400,1,3,3,3,3,manuSkl,11203,manuSkleffe,19001,shoujiPT
63020,阮小五追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64020,阮小五状态技,3,50,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65020,阮小五解锁技,1,400,1,3,2,2,3,atk,11201,atkeffe,19001,shoujiPT
61023,西门庆普攻,1,120,1,3,2,2,3,atk,11231,atkeffe,19001,shoujiPT
61923,西门庆多攻,1,120,1,3,2,2,3,atks,11232,atkseffe,19001,shoujiPT
62023,西门庆技能,1,120,1,3,2,2,3,manuSkl,11233,manuSkleffe,19006,kong
63023,西门庆追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64023,西门庆状态技,1,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65023,西门庆解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61026,潘金莲普攻,1,120,1,3,2,2,3,atk,11261,atkeffe,19001,shoujiPT
61926,潘金莲多攻,1,120,1,3,2,2,3,atks,11262,atkseffe,19001,shoujiPT
62026,潘金莲技能,1,120,1,3,2,2,3,manuSkl,11273,manuSkleffe,19006,kong
63026,潘金莲追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64026,潘金莲状态技,1,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65026,潘金莲解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61027,李师师普攻,1,400,1,3,2,2,3,atk,11271,atkeffe,19001,shoujiPT
61927,李师师多攻,1,400,1,3,2,2,3,atks,11272,atkseffe,19001,shoujiPT
62027,李师师技能,1,400,2,3,2,2,3,manuSkl,11273,manuSkleffe,19006,kong
63027,李师师追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64027,李师师状态技,1,400,-1,-1,-1,-1,-1,-1,-1,-1,19006,kong
65027,李师师解锁技,1,400,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61029,穆弘普攻,3,200,1,3,5,2,2,atk,11291,atkeffe,19001,shoujiPT
61929,穆弘多攻,3,200,1,3,5,2,2,atks,11292,atkseffe,19001,shoujiPT
62029,穆弘技能,3,270,1,3,5,2,2,manuSkl,11293,manuSkleffe,19010,shoujiZD
63029,穆弘追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64029,穆弘状态技,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65029,穆弘解锁技,1,400,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61030,武大郎普攻,1,-1,1,3,2,2,3,atk,11301,atkeffe,19001,shoujiPT
61930,武大郎多攻,1,-1,1,3,2,2,3,atks,11302,atkseffe,19001,shoujiPT
62030,武大郎技能,3,300,1,3,5,2,3,manuSkl,11303,manuSkleffe,19006,kong
63030,武大郎追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64030,武大郎状态技,1,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65030,武大郎解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61032,索超普攻,3,230,1,3,5,2,2,atk,11321,atkeffe,19001,shoujiPT
61932,索超多攻,3,230,1,3,5,2,2,atks,11322,atkseffe,19001,shoujiPT
62032,索超技能,3,230,1,3,5,2,2,manuSkl,11323,manuSkleffe,19001,shoujiPT
63032,索超追打技,3,30,1,3,2,2,1,rush2,-1,-1,19001,shoujiPT
64032,索超状态技,3,230,1,-1,5,2,2,-1,-1,-1,19001,shoujiPT
65032,索超解锁技,3,230,1,3,5,2,2,atk,11321,atkeffe,19001,shoujiPT
61033,雷横普攻,3,260,1,3,5,2,2,atk,11331,atkeffe,19001,shoujiPT
61933,雷横多攻,3,260,1,3,5,2,2,atks,11332,atkseffe,19001,shoujiPT
62033,雷横技能,3,260,1,3,5,2,2,manuSkl,11333,manuSkleffe,19001,shoujiPT
63033,雷横追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64033,雷横状态技,3,260,1,-1,2,2,2,-1,-1,-1,19001,shoujiPT
65033,雷横解锁技,1,260,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61034,杨雄普攻,3,120,1,3,5,2,2,atk,11341,atkeffe,19001,shoujiPT
61934,杨雄多攻,3,120,1,3,5,2,2,atks,11342,atkseffe,19001,shoujiPT
62034,杨雄技能,3,260,1,3,5,2,2,manuSkl,11343,manuSkleffe,19001,shoujiPT
63034,杨雄追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64034,杨雄状态技,3,260,1,-1,2,2,2,-1,-1,-1,19001,shoujiPT
65034,杨雄解锁技,1,260,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61037,杨志2普攻,3,180,1,3,5,2,2,atk,11161,atkeffe,19001,shoujiPT
61937,杨志2普攻,3,180,1,3,5,2,2,atks,11162,atkseffe,19001,shoujiPT
62037,杨志2技能,3,230,1,3,5,2,1,manuSkl,11373,manuSkleffe,19001,shoujiPT
63037,杨志2追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64037,杨志2状态技,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65037,杨志2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61038,鲁智深2单攻,3,150,1,3,5,2,2,atk,11009,xiazabai,19001,shoujiPT
61938,鲁智深2多攻,3,150,1,3,5,2,2,atks,11002,qiantuliuci,19001,shoujiPT
62038,鲁智深2技能,3,150,1,3,5,2,2,manuSkl,11383,manuSkleffe,19001,shoujiPT
63038,鲁智深2追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64038,鲁智深2状态技,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
65038,鲁智深2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61039,柴进2普攻,1,-1,1,3,2,2,3,atk,11151,atkeffe,19001,shoujiPT
61939,柴进2多攻,1,-1,1,3,2,2,3,atks,11152,atkseffe,19001,shoujiPT
62039,柴进2技能,1,-1,2,3,2,3,3,manuSkl,11393,manuSkleffe,19001,shoujiPT
63039,柴进2追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64039,柴进2状态技,1,-1,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65039,柴进2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61040,卢俊义2单攻,3,170,1,3,5,2,2,atk,11006,xiaza,19001,shoujiPT
61940,卢俊义2多攻,3,140,1,3,5,2,2,atks,11005,xuanzhuan,19001,shoujiPT
62040,卢俊义2单攻,3,190,1,3,5,2,1,manuSkl,11403,manuSkleffe,19001,shoujiPT
63040,卢俊义2追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64040,卢俊义2状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65040,卢俊义2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61041,阮小七2普攻,3,120,1,3,5,2,2,atk,11091,atkeffe,19001,shoujiPT
61941,阮小七2多攻,3,120,1,3,5,2,2,atks,11092,atkseffe,19001,shoujiPT
62041,阮小七2技能,3,260,1,3,5,2,1,manuSkl,11413,manuSkleffe,19010,shoujiZD
63041,阮小七2追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64041,阮小七2状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65041,阮小七2解锁技,3,260,1,3,5,2,1,manuSkl,11413,manuSkleffe,19010,shoujiZD
61042,潘金莲2普攻,1,120,1,3,2,2,3,atk,11261,atkeffe,19001,shoujiPT
61942,潘金莲2多攻,1,120,1,3,2,2,3,atks,11262,atkseffe,19001,shoujiPT
62042,潘金莲2技能,1,120,1,3,2,2,3,manuSkl,11423,manuSkleffe,19001,shoujiPT
63042,潘金莲2追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64042,潘金莲2状态技,1,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65042,潘金莲2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61043,林冲2单攻,3,120,1,3,5,2,1,atk,11008,qiantubai,19001,shoujiPT
61943,林冲2多攻,3,120,1,3,5,2,1,atks,11002,qiantuliuci,19001,shoujiPT
62043,林冲2技能,2,120,1,3,5,2,2,manuSkl,11433,manuSkleffe,19001,shoujiPT
63043,林冲2追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64043,林冲2状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65043,林冲2解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61044,武松2单攻,3,120,1,3,5,2,1,atk,11010,qiantu,19001,shoujiPT
61944,武松2多攻,3,120,1,3,5,2,1,atks,11011,shukan,19001,shoujiPT
62044,武松2技能,3,240,1,3,5,2,2,manuSkl,11443,manuSkleffe,19001,shoujiPT
63044,武松2追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64044,武松2状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65044,武松2解锁技,3,120,1,3,5,2,1,atk,11010,qiantu,19001,shoujiPT
61045,李师师2普攻,1,400,1,3,2,2,3,atk,11271,atkeffe,19001,shoujiPT
61945,李师师2多攻,1,400,1,3,2,2,3,atks,11272,atkseffe,19001,shoujiPT
62045,李师师2技能,1,400,2,3,2,2,3,manuSkl,11453,manuSkleffe,19001,shoujiPT
63045,李师师2追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64045,李师师2状态技,1,400,-1,-1,-1,-1,-1,-1,-1,-1,19006,kong
65045,李师师2解锁技,1,400,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61046,刘唐普攻,3,180,1,3,5,2,2,atk,11071,atkeffe,19001,shoujiPT
61946,刘唐多攻,3,180,1,3,5,2,2,atks,11072,atkseffe,19001,shoujiPT
62046,刘唐技能,3,190,1,3,5,2,1,manuSkl,11463,manuSkleffe,19010,shoujiZD
63046,刘唐追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64046,刘唐状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65046,刘唐解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
66001,精灵伤害技能-9,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66002,精灵伤害技能0-9,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66003,精灵伤害技能20-29,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66004,精灵伤害技能30-39,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66005,精灵伤害技能40-49,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66006,精灵伤害技能50-59,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66007,精灵伤害技能60-69,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
66008,精灵伤害技能70-80,2,-1,1,3,3,3,3,appear,17001,skill,19001,shoujiPT
79000,BOSS免疫buff,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
71001,枪兵普通攻击,3,120,1,3,5,2,2,atk,11002,qiantu,19001,shoujiPT
71901,枪兵多次攻击,0,0,0,0,0,0,0,0,0,0,0,0
72001,枪兵20%单体伤害,3,120,1,3,5,2,2,manuSkl,11002,qiantusanci,19001,shoujiPT
73001,枪兵冲追风,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
74001,枪兵没有技能,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75001,枪兵锁定技,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71002,刀兵单次,3,120,1,3,5,2,2,atk,15021,atkeffe,19001,shoujiPT
71902,刀兵多次,3,120,1,3,5,2,2,atks,15022,atkseffe,19001,shoujiPT
72002,刀兵技能,0,0,0,0,0,0,0,0,0,0,0,0
73002,刀兵追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
74002,刀兵状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75002,刀兵锁定技,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71003,盔甲刀兵单次,3,120,1,3,5,2,2,atk,15021,atkeffe,19001,shoujiPT
71903,盔甲刀兵多次,3,120,1,3,5,2,2,atks,15022,atkseffe,19001,shoujiPT
73003,盔甲刀兵追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
72003,盔甲刀兵技能,0,0,0,0,0,0,0,0,0,0,0,0
74003,盔甲刀兵状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75003,盔甲刀兵锁定技,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71004,布衣单次,3,80,1,3,5,2,2,atk,15031,atkeffe,19001,shoujiPT
71904,布衣多次,3,80,1,3,5,2,2,atks,15032,atkseffe,19001,shoujiPT
72004,布衣技能,0,0,0,0,0,0,0,0,0,0,0,0
73004,布衣追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
74004,布衣状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75004,布衣锁定技,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71005,带刀家丁单次,3,120,1,3,5,2,2,atk,15021,atkeffe,19001,shoujiPT
71905,带刀家丁多次,3,120,1,3,5,2,2,atks,15022,atkseffe,19001,shoujiPT
72005,带刀家丁技能,0,0,0,0,0,0,0,0,0,0,0,0
73005,带刀家丁追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
74005,带刀家丁状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75005,带刀家丁锁定技,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71006,和尚单次,3,80,1,3,5,2,2,atk,15041,atkeffe,19001,shoujiPT
71906,和尚多次,3,80,1,3,5,2,2,atks,15042,atkseffe,19001,shoujiPT
72006,和尚技能,0,0,0,0,0,0,0,0,0,0,0,0
73006,和尚追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
74006,和尚状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
75006,和尚锁定技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
71007,铜人和尚单次,3,80,1,3,5,2,2,atk,15041,atkeffe,19001,shoujiPT
71907,铜人和尚多次,3,80,1,3,5,2,2,atks,15042,atkseffe,19001,shoujiPT
