id,hero,type,des,level,value
410042005,41004,2,林冲达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410042006,41004,2,林冲达到6星，加成5% 。,6,0.05
410043010,41004,3,林冲觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410043019,41004,3,林冲觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410043028,41004,3,林冲觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410043041,41004,3,林冲觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410044004,41004,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410044008,41004,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410044012,41004,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410044016,41004,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410044020,41004,4,购买星石20个，加成5% 。,20,0.05
410051000,41005,1,拥有呼延灼，加成5% 。,0,0.05
410052003,41005,2,呼延灼达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410052004,41005,2,呼延灼达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410052005,41005,2,呼延灼达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410052006,41005,2,呼延灼达到6星，加成5% 。,6,0.05
410053010,41005,3,呼延灼觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410053019,41005,3,呼延灼觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410053028,41005,3,呼延灼觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410053041,41005,3,呼延灼觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410054004,41005,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410054008,41005,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410054012,41005,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410054016,41005,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410054020,41005,4,购买星石20个，加成5% 。,20,0.05
410061000,41006,1,拥有武松，加成5% 。,0,0.05
410062003,41006,2,武松达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410062004,41006,2,武松达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410062005,41006,2,武松达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410062006,41006,2,武松达到6星，加成5% 。,6,0.05
410063010,41006,3,武松觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410063019,41006,3,武松觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410063028,41006,3,武松觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410063041,41006,3,武松觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410064004,41006,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410064008,41006,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410064012,41006,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410064016,41006,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410064020,41006,4,购买星石20个，加成5% 。,20,0.05
410071000,41007,1,拥有刘唐，加成5% 。,0,0.05
410072003,41007,2,刘唐达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410072004,41007,2,刘唐达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410072005,41007,2,刘唐达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410072006,41007,2,刘唐达到6星，加成5% 。,6,0.05
410073010,41007,3,刘唐觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410073019,41007,3,刘唐觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410073028,41007,3,刘唐觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410073041,41007,3,刘唐觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410074004,41007,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410074008,41007,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410074012,41007,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410074016,41007,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410074020,41007,4,购买星石20个，加成5% 。,20,0.05
410081000,41008,1,拥有李逵，加成5% 。,0,0.05
410082003,41008,2,李逵达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410082004,41008,2,李逵达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410082005,41008,2,李逵达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410082006,41008,2,李逵达到6星，加成5% 。,6,0.05
410083010,41008,3,李逵觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410083019,41008,3,李逵觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410083028,41008,3,李逵觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410083041,41008,3,李逵觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410084004,41008,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410084008,41008,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410084012,41008,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410084016,41008,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410084020,41008,4,购买星石20个，加成5% 。,20,0.05
410091000,41009,1,拥有阮小七，加成5% 。,0,0.05
410092003,41009,2,阮小七达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410092004,41009,2,阮小七达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410092005,41009,2,阮小七达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410092006,41009,2,阮小七达到6星，加成5% 。,6,0.05
410093010,41009,3,阮小七觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410093019,41009,3,阮小七觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410093028,41009,3,阮小七觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410093041,41009,3,阮小七觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410094004,41009,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410094008,41009,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410094012,41009,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410094016,41009,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410094020,41009,4,购买星石20个，加成5% 。,20,0.05
410101000,41010,1,拥有阮小二，加成5% 。,0,0.05
410102003,41010,2,阮小二达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410102004,41010,2,阮小二达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410102005,41010,2,阮小二达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410102006,41010,2,阮小二达到6星，加成5% 。,6,0.05
410103010,41010,3,阮小二觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410103019,41010,3,阮小二觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410103028,41010,3,阮小二觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410103041,41010,3,阮小二觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410104004,41010,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410104008,41010,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410104012,41010,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410104016,41010,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410104020,41010,4,购买星石20个，加成5% 。,20,0.05
410111000,41011,1,拥有石秀，加成5% 。,0,0.05
410112003,41011,2,石秀达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410112004,41011,2,石秀达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410112005,41011,2,石秀达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410112006,41011,2,石秀达到6星，加成5% 。,6,0.05
410113010,41011,3,石秀觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410113019,41011,3,石秀觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410113028,41011,3,石秀觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410113041,41011,3,石秀觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410114004,41011,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410114008,41011,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410114012,41011,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410114016,41011,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410114020,41011,4,购买星石20个，加成5% 。,20,0.05
410121000,41012,1,,0,0.05
410122003,41012,2,,3,0.01
410122004,41012,2,,4,0.02
410122005,41012,2,,5,0.03
410122006,41012,2,,6,0.05
410123010,41012,3,,10,0.01
410123019,41012,3,,19,0.02
410123028,41012,3,,28,0.03
410123041,41012,3,,41,0.05
410124004,41012,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410124008,41012,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410124012,41012,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410124016,41012,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410124020,41012,4,购买星石20个，加成5% 。,20,0.05
410131000,41013,1,拥有公孙胜，加成5% 。,0,0.05
410132003,41013,2,公孙胜达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410132004,41013,2,公孙胜达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410132005,41013,2,公孙胜达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410132006,41013,2,公孙胜达到6星，加成5% 。,6,0.05
410133010,41013,3,公孙胜觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410133019,41013,3,公孙胜觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410133028,41013,3,公孙胜觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410133041,41013,3,公孙胜觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410134004,41013,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410134008,41013,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410134012,41013,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410134016,41013,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410134020,41013,4,购买星石20个，加成5% 。,20,0.05
410141000,41014,1,拥有花荣，加成5% 。,0,0.05
410142003,41014,2,花荣达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410142004,41014,2,花荣达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410142005,41014,2,花荣达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410142006,41014,2,花荣达到6星，加成5% 。,6,0.05
410143010,41014,3,花荣觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410143019,41014,3,花荣觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410143028,41014,3,花荣觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410143041,41014,3,花荣觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410144004,41014,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410144008,41014,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410144012,41014,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410144016,41014,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410144020,41014,4,购买星石20个，加成5% 。,20,0.05
410151000,41015,1,拥有柴进，加成5% 。,0,0.05
410152003,41015,2,柴进达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410152004,41015,2,柴进达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410152005,41015,2,柴进达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410152006,41015,2,柴进达到6星，加成5% 。,6,0.05
410153010,41015,3,柴进觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410153019,41015,3,柴进觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410153028,41015,3,柴进觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410153041,41015,3,柴进觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410154004,41015,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410154008,41015,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410154012,41015,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410154016,41015,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410154020,41015,4,购买星石20个，加成5% 。,20,0.05
410161000,41016,1,拥有杨志，加成5% 。,0,0.05
410162003,41016,2,杨志达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410162004,41016,2,杨志达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410162005,41016,2,杨志达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410162006,41016,2,杨志达到6星，加成5% 。,6,0.05
410163010,41016,3,杨志觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410163019,41016,3,杨志觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410163028,41016,3,杨志觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410163041,41016,3,杨志觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410164004,41016,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410164008,41016,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410164012,41016,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410164016,41016,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410164020,41016,4,购买星石20个，加成5% 。,20,0.05
410171000,41017,1,拥有徐宁，加成5% 。,0,0.05
410172003,41017,2,徐宁达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410172004,41017,2,徐宁达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410172005,41017,2,徐宁达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410172006,41017,2,徐宁达到6星，加成5% 。,6,0.05
410173010,41017,3,徐宁觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410173019,41017,3,徐宁觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410173028,41017,3,徐宁觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410173041,41017,3,徐宁觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410174004,41017,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410174008,41017,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410174012,41017,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410174016,41017,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410174020,41017,4,购买星石20个，加成5% 。,20,0.05
410181000,41018,1,,0,0.05
410182003,41018,2,,3,0.01
410182004,41018,2,,4,0.02
410182005,41018,2,,5,0.03
410182006,41018,2,,6,0.05
410183010,41018,3,,10,0.01
410183019,41018,3,,19,0.02
410183028,41018,3,,28,0.03
410183041,41018,3,,41,0.05
410184004,41018,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410184008,41018,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410184012,41018,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410184016,41018,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410184020,41018,4,购买星石20个，加成5% 。,20,0.05
410191000,41019,1,,0,0.05
410192003,41019,2,,3,0.01
410192004,41019,2,,4,0.02
410192005,41019,2,,5,0.03
410192006,41019,2,,6,0.05
410193010,41019,3,,10,0.01
410193019,41019,3,,19,0.02
410193028,41019,3,,28,0.03
410193041,41019,3,,41,0.05
410194004,41019,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410194008,41019,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410194012,41019,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410194016,41019,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410194020,41019,4,购买星石20个，加成5% 。,20,0.05
410201000,41020,1,拥有阮小五，加成5% 。,0,0.05
410202003,41020,2,阮小五达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410202004,41020,2,阮小五达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410202005,41020,2,阮小五达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410202006,41020,2,阮小五达到6星，加成5% 。,6,0.05
410203010,41020,3,阮小五觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410203019,41020,3,阮小五觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410203028,41020,3,阮小五觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410203041,41020,3,阮小五觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410204004,41020,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410204008,41020,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410204012,41020,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410204016,41020,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410204020,41020,4,购买星石20个，加成5% 。,20,0.05
410211000,41021,1,,0,0.05
410212003,41021,2,,3,0.01
410212004,41021,2,,4,0.02
410212005,41021,2,,5,0.03
410212006,41021,2,,6,0.05
410213010,41021,3,,10,0.01
410213019,41021,3,,19,0.02
410213028,41021,3,,28,0.03
410213041,41021,3,,41,0.05
410214004,41021,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410214008,41021,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410214012,41021,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410214016,41021,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410214020,41021,4,购买星石20个，加成5% 。,20,0.05
410221000,41022,1,,0,0.05
410222003,41022,2,,3,0.01
410222004,41022,2,,4,0.02
410222005,41022,2,,5,0.03
410222006,41022,2,,6,0.05
410223010,41022,3,,10,0.01
410223019,41022,3,,19,0.02
410223028,41022,3,,28,0.03
410223041,41022,3,,41,0.05
410224004,41022,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410224008,41022,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410224012,41022,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410224016,41022,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410224020,41022,4,购买星石20个，加成5% 。,20,0.05
410231000,41023,1,拥有西门庆，加成5% 。,0,0.05
410232003,41023,2,西门庆达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410232004,41023,2,西门庆达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410232005,41023,2,西门庆达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410232006,41023,2,西门庆达到6星，加成5% 。,6,0.05
410233010,41023,3,西门庆觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410233019,41023,3,西门庆觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410233028,41023,3,西门庆觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410233041,41023,3,西门庆觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410234004,41023,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410234008,41023,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410234012,41023,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410234016,41023,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410234020,41023,4,购买星石20个，加成5% 。,20,0.05
410241000,41024,1,,0,0.05
410242003,41024,2,,3,0.01
410242004,41024,2,,4,0.02
410242005,41024,2,,5,0.03
410242006,41024,2,,6,0.05
410243010,41024,3,,10,0.01
410243019,41024,3,,19,0.02
410243028,41024,3,,28,0.03
410243041,41024,3,,41,0.05
410244004,41024,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410244008,41024,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410244012,41024,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410244016,41024,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410244020,41024,4,购买星石20个，加成5% 。,20,0.05
410251000,41025,1,,0,0.05
410252003,41025,2,,3,0.01
410252004,41025,2,,4,0.02
410252005,41025,2,,5,0.03
410252006,41025,2,,6,0.05
410253010,41025,3,,10,0.01
410253019,41025,3,,19,0.02
410253028,41025,3,,28,0.03
410253041,41025,3,,41,0.05
410254004,41025,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410254008,41025,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410254012,41025,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410254016,41025,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410254020,41025,4,购买星石20个，加成5% 。,20,0.05
410261000,41026,1,拥有潘金莲，加成5% 。,0,0.05
410262003,41026,2,潘金莲达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410262004,41026,2,潘金莲达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410262005,41026,2,潘金莲达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410262006,41026,2,潘金莲达到6星，加成5% 。,6,0.05
410263010,41026,3,潘金莲觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410263019,41026,3,潘金莲觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410263028,41026,3,潘金莲觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410263041,41026,3,潘金莲觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410264004,41026,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410264008,41026,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410264012,41026,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410264016,41026,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410264020,41026,4,购买星石20个，加成5% 。,20,0.05
410271000,41027,1,拥有李师师，加成5% 。,0,0.05
410272003,41027,2,李师师达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410272004,41027,2,李师师达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410272005,41027,2,李师师达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410272006,41027,2,李师师达到6星，加成5% 。,6,0.05
410273010,41027,3,李师师觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410273019,41027,3,李师师觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410273028,41027,3,李师师觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
