id,dropNum,itmWgt
91087,3,"10018,1,100"
91088,3,"10018,1,100"
91089,3,"10018,1,100"
91090,4,"10018,1,100|10008,5,100"
91091,3,"10018,1,100"
91092,3,"10018,1,100"
91093,3,"10018,1,100"
91094,3,"10018,1,100"
91095,3,"10018,1,100|10008,5,100"
91096,3,"10018,1,100"
91097,3,"10018,1,100"
91098,3,"10018,1,100"
91099,3,"10018,1,100"
91100,4,"10018,1,100|10008,5,100"
90999,1,"10101,1,50|10102,1,50|10103,1,50|10101,1,100"
80000,1,"10011,1,13|10012,1,13|10010,1,20"
80001,4,"10011,1,100|10013,1,50|10010,1,20"
80002,4,"10012,1,100|10013,1,50|10010,1,20"
80003,4,"10012,1,100|10014,1,50|10010,1,20"
80103,4,"72101,1,100|72101,1,80|10011,1,13|10012,1,13|10010,1,20"
80106,4,"72201,1,100|72201,1,80|10011,1,13|10012,1,13|10010,1,20"
80109,4,"72301,1,100|72301,1,80|10011,1,13|10012,1,13|10010,1,20"
80112,4,"72202,1,100|72202,1,50|10011,1,13|10012,1,13|10010,1,20"
80113,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80114,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80115,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80116,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80117,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80118,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80203,4,"72111,1,100|72111,1,80|72101,1,100|10011,1,13|10012,1,13|10010,1,20"
80206,4,"72211,1,100|72211,1,80|72201,1,100|10011,1,13|10012,1,13|10010,1,20"
80209,4,"72311,1,100|72311,1,80|72301,1,100|10011,1,13|10012,1,13|10010,1,20"
80212,4,"72211,1,100|72201,1,100|10011,1,13|10012,1,13|10010,1,20"
80213,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80214,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80215,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80216,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80217,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80218,4,"72202,1,0|10011,1,13|10012,1,13|10010,1,20"
80303,4,"72114,1,100|72114,1,80|72101,1,100|10011,1,13|10012,1,13|10010,1,20"
80306,4,"72214,1,100|72214,1,80|72201,1,100|10011,1,13|10012,1,13|10010,1,20"
80309,4,"72314,1,100|72314,1,80|72301,1,100|10011,1,13|10012,1,13|10010,1,20"
80312,4,"72312,1,100|72203,1,100|10011,1,13|10012,1,13|10010,1,20"
80313,4,"71301,1,100|10011,1,13|10012,1,13|10010,1,20"
80314,4,"71302,1,100|10011,1,13|10012,1,13|10010,1,20"
80315,4,"71303,1,100|31002,1,31|10011,1,13|10012,1,13|10010,1,20"
80316,4,"71101,1,100|10011,1,13|10012,1,13|10010,1,20"
80317,4,"71102,1,100|10011,1,13|10012,1,13|10010,1,20"
80318,4,"71103,1,100|31001,1,31|10011,1,13|10012,1,13|10010,1,20"
80403,4,"72121,1,96|72121,1,24|72111,1,100|10011,1,13|10012,1,13|10010,1,20"
80406,4,"72221,1,96|72221,1,24|72211,1,100|10011,1,13|10012,1,13|10010,1,20"
80409,4,"72321,1,96|72321,1,24|72311,1,100|10011,1,13|10012,1,13|10010,1,20"
80412,4,"72114,1,100|72202,1,100|10011,1,13|10012,1,13|10010,1,20"
80413,4,"71401,1,100|10011,1,13|10012,1,13|10010,1,20"
80414,4,"71402,1,100|10011,1,13|10012,1,13|10010,1,20"
80415,4,"71403,1,100|31001,1,31|10011,1,13|10012,1,13|10010,1,20"
80416,4,"71401,1,100|10011,1,13|10012,1,13|10010,1,20"
80417,4,"71402,1,100|10011,1,13|10012,1,13|10010,1,20"
80418,4,"71403,1,100|31026,1,31|10011,1,13|10012,1,13|10010,1,20"
80503,4,"72124,1,96|72124,1,24|72111,1,100|10011,1,13|10012,1,13|10010,1,20"
80506,4,"72224,1,96|72224,1,24|72211,1,100|10011,1,13|10012,1,13|10010,1,20"
80509,4,"72324,1,96|72324,1,24|72311,1,100|10011,1,13|10012,1,13|10010,1,20"
80512,4,"72215,1,100|72111,1,100|10011,1,13|10012,1,13|10010,1,20"
80513,4,"71101,1,100|10011,1,13|10012,1,13|10010,1,20"
80514,4,"71102,1,100|10011,1,13|10012,1,13|10010,1,20"
80515,4,"71103,1,100|31030,1,31|10011,1,13|10012,1,13|10010,1,20"
80516,4,"71211,1,100|10011,1,13|10012,1,13|10010,1,20"
80517,4,"71212,1,100|10011,1,13|10012,1,13|10010,1,20"
80518,4,"71213,1,100|31033,1,31|10011,1,13|10012,1,13|10010,1,20"
80603,4,"72124,1,96|72124,1,24|72114,1,100|10011,1,13|10012,1,13|10010,1,20"
80606,4,"72224,1,96|72224,1,24|72214,1,100|10011,1,13|10012,1,13|10010,1,20"
80609,4,"72324,1,96|72324,1,24|72314,1,100|10011,1,13|10012,1,13|10010,1,20"
80612,4,"72316,1,100|72312,1,100|10011,1,13|10012,1,13|10010,1,20"
80613,4,"71201,1,100|10011,1,13|10012,1,13|10010,1,20"
80614,4,"71202,1,100|10011,1,13|10012,1,13|10010,1,20"
80615,4,"71203,1,100|31007,1,31|10011,1,13|10012,1,13|10010,1,20"
80616,3,"71411,1,100|10011,1,13|10012,1,13|10010,1,20"
80617,3,"71412,1,100|10011,1,13|10012,1,13|10010,1,20"
80618,3,"71413,1,100|31006,1,31|10011,1,13|10012,1,13|10010,1,20"
80703,4,"72127,1,96|72127,1,24|72114,1,100|10011,1,13|10012,1,13|10010,1,20"
80706,4,"72227,1,96|72227,1,24|72214,1,100|10011,1,13|10012,1,13|10010,1,20"
80709,4,"72327,1,96|72327,1,24|72314,1,100|10011,1,13|10012,1,13|10010,1,20"
80712,4,"72122,1,80|72122,1,20|72114,1,100|10011,1,13|10012,1,13|10010,1,20"
80713,4,"71311,1,100|10011,1,13|10012,1,13|10010,1,20"
80714,4,"71312,1,100|10011,1,13|10012,1,13|10010,1,20"
80715,4,"71313,1,100|31006,1,31|10011,1,13|10012,1,13|10010,1,20"
80716,4,"71111,1,100|10011,1,13|10012,1,13|10010,1,20"
80717,4,"71112,1,100|10011,1,13|10012,1,13|10010,1,20"
80718,4,"71113,1,100|31023,1,31|10011,1,13|10012,1,13|10010,1,20"
80803,4,"72127,1,96|72127,1,24|72214,1,100|10011,1,13|10012,1,13|10010,1,20"
80806,4,"72227,1,96|72227,1,24|72314,1,100|10011,1,13|10012,1,13|10010,1,20"
80809,4,"72327,1,96|72327,1,24|72115,1,100|10011,1,13|10012,1,13|10010,1,20"
80812,4,"72223,1,80|72223,1,20|72115,1,100|10011,1,13|10012,1,13|10010,1,20"
80813,4,"71211,1,100|10011,1,13|10012,1,13|10010,1,20"
80814,4,"71212,1,100|10011,1,13|10012,1,13|10010,1,20"
80815,4,"71213,1,100|31027,1,31|10011,1,13|10012,1,13|10010,1,20"
80816,4,"71411,1,100|10011,1,13|10012,1,13|10010,1,20"
80817,4,"71412,1,100|10011,1,13|10012,1,13|10010,1,20"
80818,4,"71413,1,100|31008,1,31|10011,1,13|10012,1,13|10010,1,20"
80903,4,"72131,1,80|72131,1,20|72121,1,100|10011,1,13|10012,1,13|10010,1,20"
80906,4,"72231,1,80|72231,1,20|72221,1,100|10011,1,13|10012,1,13|10010,1,20"
80909,4,"72331,1,80|72331,1,20|72321,1,100|10011,1,13|10012,1,13|10010,1,20"
80912,4,"72324,1,80|72324,1,20|72316,1,100|10011,1,13|10012,1,13|10010,1,20"
80913,4,"71411,1,100|10011,1,13|10012,1,13|10010,1,20"
80914,4,"71412,1,100|10011,1,13|10012,1,13|10010,1,20"
80915,4,"71413,1,100|31029,1,31|10011,1,13|10012,1,13|10010,1,20"
80916,4,"71311,1,100|10011,1,13|10012,1,13|10010,1,20"
80917,4,"71312,1,100|10011,1,13|10012,1,13|10010,1,20"
80918,4,"71313,1,100|31001,1,31|10011,1,13|10012,1,13|10010,1,20"
81003,4,"72131,1,80|72131,1,20|72124,1,80|10011,1,13|10012,1,13|10010,1,20"
81006,4,"72231,1,80|72231,1,20|72224,1,80|10011,1,13|10012,1,13|10010,1,20"
81009,4,"72331,1,80|72331,1,20|72324,1,80|10011,1,13|10012,1,13|10010,1,20"
81012,4,"72126,1,80|72126,1,20|72112,1,100|10011,1,13|10012,1,13|10010,1,20"
81013,4,"71111,1,100|10011,1,13|10012,1,13|10010,1,20"
81014,4,"71112,1,100|10011,1,13|10012,1,13|10010,1,20"
81015,4,"71113,1,100|31030,1,31|10011,1,13|10012,1,13|10010,1,20"
81016,4,"71411,1,100|10011,1,13|10012,1,13|10010,1,20"
81017,4,"71412,1,100|10011,1,13|10012,1,13|10010,1,20"
81018,4,"71413,1,100|31030,1,31|10011,1,13|10012,1,13|10010,1,20"
81103,4,"72131,1,80|72131,1,20|72124,1,80|10011,1,13|10012,1,13|10010,1,20"
81106,4,"72231,1,80|72231,1,20|72224,1,80|10011,1,13|10012,1,13|10010,1,20"
81109,4,"72331,1,80|72331,1,20|72324,1,80|10011,1,13|10012,1,13|10010,1,20"
81112,4,"72227,1,80|72227,1,20|72213,1,100|10011,1,13|10012,1,13|10010,1,20"
81113,4,"71321,1,90|10011,1,13|10012,1,13|10010,1,20"
81114,4,"71322,1,90|10011,1,13|10012,1,13|10010,1,20"
81115,4,"71323,1,90|31011,1,31|10011,1,13|10012,1,13|10010,1,20"
81116,4,"71221,1,90|10011,1,13|10012,1,13|10010,1,20"
81117,4,"71222,1,90|10011,1,13|10012,1,13|10010,1,20"
81118,4,"71223,1,90|31033,1,31|10011,1,13|10012,1,13|10010,1,20"
81203,4,"72134,1,80|72134,1,20|72124,1,80|10011,1,13|10012,1,13|10010,1,20"
81206,4,"72234,1,80|72234,1,20|72224,1,80|10011,1,13|10012,1,13|10010,1,20"
81209,4,"72334,1,80|72334,1,20|72324,1,80|10011,1,13|10012,1,13|10010,1,20"
81212,4,"72328,1,80|72328,1,20|72314,1,100|10011,1,13|10012,1,13|10010,1,20"
81213,4,"71421,1,90|10011,1,13|10012,1,13|10010,1,20"
81214,4,"71422,1,90|10011,1,13|10012,1,13|10010,1,20"
81215,4,"71423,1,90|31020,1,31|10011,1,13|10012,1,13|10010,1,20"
81216,4,"71421,1,90|10011,1,13|10012,1,13|10010,1,20"
81217,4,"71422,1,90|10011,1,13|10012,1,13|10010,1,20"
81218,4,"71423,1,90|31033,1,31|10011,1,13|10012,1,13|10010,1,20"
81303,4,"72134,1,80|72134,1,20|72124,1,80|10011,1,13|10012,1,13|10010,1,20"
81306,4,"72234,1,80|72234,1,20|72224,1,80|10011,1,13|10012,1,13|10010,1,20"
81309,4,"72334,1,80|72334,1,20|72324,1,80|10011,1,13|10012,1,13|10010,1,20"
81312,4,"72131,1,64|72131,1,16|72116,1,100|10011,1,13|10012,1,13|10010,1,20"
81313,4,"71121,1,90|10011,1,13|10012,1,13|10010,1,20"
81314,4,"71122,1,90|10011,1,13|10012,1,13|10010,1,20"
81315,4,"71123,1,90|31029,1,31|10011,1,13|10012,1,13|10010,1,20"
81316,4,"71121,1,90|10011,1,13|10012,1,13|10010,1,20"
81317,4,"71122,1,90|10011,1,13|10012,1,13|10010,1,20"
81318,4,"71123,1,90|31001,1,31|10011,1,13|10012,1,13|10010,1,20"
81403,4,"72134,1,80|72134,1,20|72127,1,80|10011,1,13|10012,1,13|10010,1,20"
81406,4,"72234,1,80|72234,1,20|72227,1,80|10011,1,13|10012,1,13|10010,1,20"
81409,4,"72334,1,80|72334,1,20|72327,1,80|10011,1,13|10012,1,13|10010,1,20"
81412,4,"72232,1,64|72232,1,16|72221,1,90|10011,1,13|10012,1,13|10010,1,20"
81413,4,"71221,1,90|10011,1,13|10012,1,13|10010,1,20"
81414,4,"71222,1,90|10011,1,13|10012,1,13|10010,1,20"
81415,4,"71223,1,90|31040,1,31|10011,1,13|10012,1,13|10010,1,20"
81416,4,"71421,1,90|10011,1,13|10012,1,13|10010,1,20"
81417,4,"71422,1,90|10011,1,13|10012,1,13|10010,1,20"
81418,4,"71423,1,90|31026,1,31|10011,1,13|10012,1,13|10010,1,20"
81503,4,"72137,1,80|72137,1,20|72127,1,80|10011,1,13|10012,1,13|10010,1,20"
81506,4,"72237,1,80|72237,1,20|72227,1,80|10011,1,13|10012,1,13|10010,1,20"
81509,4,"72337,1,80|72337,1,20|72327,1,80|10011,1,13|10012,1,13|10010,1,20"
81512,4,"72333,1,64|72333,1,16|72322,1,90|10011,1,13|10012,1,13|10010,1,20"
81513,4,"71331,1,75|10011,1,13|10012,1,13|10010,1,20"
81514,4,"71332,1,75|10011,1,13|10012,1,13|10010,1,20"
81515,4,"71333,1,75|31045,1,31|10011,1,13|10012,1,13|10010,1,20"
81516,4,"71221,1,90|10011,1,13|10012,1,13|10010,1,20"
81517,4,"71222,1,90|10011,1,13|10012,1,13|10010,1,20"
81518,4,"71223,1,90|31033,1,31|10011,1,13|10012,1,13|10010,1,20"
81603,4,"72137,1,80|72137,1,20|72127,1,80|10011,1,13|10012,1,13|10010,1,20"
81606,4,"72237,1,80|72237,1,20|72227,1,80|10011,1,13|10012,1,13|10010,1,20"
81609,4,"72337,1,80|72337,1,20|72327,1,80|10011,1,13|10012,1,13|10010,1,20"
81612,4,"72135,1,64|72135,1,16|72124,1,80|10011,1,13|10012,1,13|10010,1,20"
81613,4,"71431,1,75|10011,1,13|10012,1,13|10010,1,20"
81614,4,"71432,1,75|10011,1,13|10012,1,13|10010,1,20"
81615,4,"71433,1,75|31034,1,31|10011,1,13|10012,1,13|10010,1,20"
81616,4,"71421,1,90|10011,1,13|10012,1,13|10010,1,20"
81617,4,"71422,1,90|10011,1,13|10012,1,13|10010,1,20"
81618,4,"71423,1,90|31006,1,31|10011,1,13|10012,1,13|10010,1,20"
81703,4,"72137,1,80|72137,1,20|72127,1,80|10011,1,13|10012,1,13|10010,1,20"
81706,4,"72237,1,80|72237,1,20|72227,1,80|10011,1,13|10012,1,13|10010,1,20"
81709,4,"72337,1,80|72337,1,20|72327,1,80|10011,1,13|10012,1,13|10010,1,20"
81712,4,"72236,1,64|72236,1,16|72225,1,80|10011,1,13|10012,1,13|10010,1,20"
81713,4,"71131,1,75|10011,1,13|10012,1,13|10010,1,20"
81714,4,"71132,1,75|10011,1,13|10012,1,13|10010,1,20"
81715,4,"71133,1,75|31034,1,31|10011,1,13|10012,1,13|10010,1,20"
81716,4,"71221,1,90|10011,1,13|10012,1,13|10010,1,20"
81717,4,"71222,1,90|10011,1,13|10012,1,13|10010,1,20"
81718,4,"71223,1,90|31023,1,31|10011,1,13|10012,1,13|10010,1,20"
81803,4,"72141,1,80|72141,1,20|72325,1,80|10011,1,13|10012,1,13|10010,1,20"
81806,4,"72241,1,80|72241,1,20|72126,1,80|10011,1,13|10012,1,13|10010,1,20"
81809,4,"72341,1,80|72341,1,20|72226,1,80|10011,1,13|10012,1,13|10010,1,20"
81812,4,"72337,1,64|72337,1,16|72326,1,80|10011,1,13|10012,1,13|10010,1,20"
81813,4,"71231,1,75|10011,1,13|10012,1,13|10010,1,20"
81814,4,"71232,1,75|10011,1,13|10012,1,13|10010,1,20"
81815,4,"71233,1,75|31023,1,31|10011,1,13|10012,1,13|10010,1,20"
81816,4,"71421,1,90|10011,1,13|10012,1,13|10010,1,20"
81817,4,"71422,1,90|10011,1,13|10012,1,13|10010,1,20"
