id,type,name,heroId,level,num,rewards
405,4,浪子佳人,41027|41999,5,170,"10015,1|10004,5|10003,1"
406,4,浪子佳人,41027|41999,6,230,"10015,1|10004,5|10003,1"
407,4,浪子佳人,41027|41999,7,310,"10015,1|10004,5|10003,1"
408,4,浪子佳人,41027|41999,8,410,"10015,1|10004,5|10003,1"
409,4,浪子佳人,41027|41999,9,530,"10015,1|10004,5|10003,1"
410,4,浪子佳人,41027|41999,10,680,"10015,1|10004,5|10003,1"
500,5,五虎屠龙,41004|41005|41998|41997|41996,0,15,"10015,1|10004,5|10003,1"
501,5,五虎屠龙,41004|41005|41998|41997|41996,1,30,"10015,1|10004,5|10003,1"
502,5,五虎屠龙,41004|41005|41998|41997|41996,2,50,"10015,1|10004,5|10003,1"
503,5,五虎屠龙,41004|41005|41998|41997|41996,3,80,"10015,1|10004,5|10003,1"
504,5,五虎屠龙,41004|41005|41998|41997|41996,4,120,"10015,1|10004,5|10003,1"
505,5,五虎屠龙,41004|41005|41998|41997|41996,5,170,"10015,1|10004,5|10003,1"
506,5,五虎屠龙,41004|41005|41998|41997|41996,6,230,"10015,1|10004,5|10003,1"
507,5,五虎屠龙,41004|41005|41998|41997|41996,7,310,"10015,1|10004,5|10003,1"
508,5,五虎屠龙,41004|41005|41998|41997|41996,8,410,"10015,1|10004,5|10003,1"
509,5,五虎屠龙,41004|41005|41998|41997|41996,9,530,"10015,1|10004,5|10003,1"
510,5,五虎屠龙,41004|41005|41998|41997|41996,10,680,"10015,1|10004,5|10003,1"
600,6,智勇无双,41013|41003,0,15,"10015,1|10004,5|10003,1"
601,6,智勇无双,41013|41003,1,30,"10015,1|10004,5|10003,1"
602,6,智勇无双,41013|41003,2,50,"10015,1|10004,5|10003,1"
603,6,智勇无双,41013|41003,3,80,"10015,1|10004,5|10003,1"
604,6,智勇无双,41013|41003,4,120,"10015,1|10004,5|10003,1"
605,6,智勇无双,41013|41003,5,170,"10015,1|10004,5|10003,1"
606,6,智勇无双,41013|41003,6,230,"10015,1|10004,5|10003,1"
607,6,智勇无双,41013|41003,7,310,"10015,1|10004,5|10003,1"
608,6,智勇无双,41013|41003,8,410,"10015,1|10004,5|10003,1"
609,6,智勇无双,41013|41003,9,530,"10015,1|10004,5|10003,1"
610,6,智勇无双,41013|41003,10,680,"10015,1|10004,5|10003,1"
600,6,智勇无双,41013|41003,0,15,"10015,1|10004,5|10003,1"
701,7,四杀连星,41014|41017|41016|41032,1,30,"10015,1|10004,5|10003,1"
702,7,四杀连星,41014|41017|41016|41032,2,50,"10015,1|10004,5|10003,1"
703,7,四杀连星,41014|41017|41016|41032,3,80,"10015,1|10004,5|10003,1"
704,7,四杀连星,41014|41017|41016|41032,4,120,"10015,1|10004,5|10003,1"
705,7,四杀连星,41014|41017|41016|41032,5,170,"10015,1|10004,5|10003,1"
706,7,四杀连星,41014|41017|41016|41032,6,230,"10015,1|10004,5|10003,1"
707,7,四杀连星,41014|41017|41016|41032,7,310,"10015,1|10004,5|10003,1"
708,7,四杀连星,41014|41017|41016|41032,8,410,"10015,1|10004,5|10003,1"
709,7,四杀连星,41014|41017|41016|41032,9,530,"10015,1|10004,5|10003,1"
710,7,四杀连星,41014|41017|41016|41032,10,680,"10015,1|10004,5|10003,1"
800,8,破军耀月,41033|41034|41011|41029,0,15,"10015,1|10004,5|10003,1"
801,8,破军耀月,41033|41034|41011|41029,1,30,"10015,1|10004,5|10003,1"
802,8,破军耀月,41033|41034|41011|41029,2,50,"10015,1|10004,5|10003,1"
803,8,破军耀月,41033|41034|41011|41029,3,80,"10015,1|10004,5|10003,1"
804,8,破军耀月,41033|41034|41011|41029,4,120,"10015,1|10004,5|10003,1"
805,8,破军耀月,41033|41034|41011|41029,5,170,"10015,1|10004,5|10003,1"
806,8,破军耀月,41033|41034|41011|41029,6,230,"10015,1|10004,5|10003,1"
807,8,破军耀月,41033|41034|41011|41029,7,310,"10015,1|10004,5|10003,1"
808,8,破军耀月,41033|41034|41011|41029,8,410,"10015,1|10004,5|10003,1"
809,8,破军耀月,41033|41034|41011|41029,9,530,"10015,1|10004,5|10003,1"
810,8,破军耀月,41033|41034|41011|41029,10,680,"10015,1|10004,5|10003,1"
900,9,贪狼蚀日,41008|41007|41015|41002,0,15,"10015,1|10004,5|10003,1"
901,9,贪狼蚀日,41008|41007|41015|41002,1,30,"10015,1|10004,5|10003,1"
902,9,贪狼蚀日,41008|41007|41015|41002,2,50,"10015,1|10004,5|10003,1"
903,9,贪狼蚀日,41008|41007|41015|41002,3,80,"10015,1|10004,5|10003,1"
904,9,贪狼蚀日,41008|41007|41015|41002,4,120,"10015,1|10004,5|10003,1"
905,9,贪狼蚀日,41008|41007|41015|41002,5,170,"10015,1|10004,5|10003,1"
906,9,贪狼蚀日,41008|41007|41015|41002,6,230,"10015,1|10004,5|10003,1"
907,9,贪狼蚀日,41008|41007|41015|41002,7,310,"10015,1|10004,5|10003,1"
908,9,贪狼蚀日,41008|41007|41015|41002,8,410,"10015,1|10004,5|10003,1"
909,9,贪狼蚀日,41008|41007|41015|41002,9,530,"10015,1|10004,5|10003,1"
910,9,贪狼蚀日,41008|41007|41015|41002,10,680,"10015,1|10004,5|10003,1"
