id,actTyp,labName,labShow,actOpen,show,refTyp,amount1,amount2,price,actInfo,item,skip
32004,1,巅峰对决,2,1,3,8,500,-1,-1,竞技场最高排名达到第500名,10015;1|11003;200,3
32005,1,巅峰对决,2,1,3,8,100,-1,-1,竞技场最高排名达到第100名,10051;1|11003;400,3
32006,1,巅峰对决,2,1,3,8,30,-1,-1,竞技场最高排名达到第30名,73000;1|11003;400,3
32007,1,巅峰对决,2,1,3,8,10,-1,-1,竞技场最高排名达到第10名,10051;2|11003;500,3
32008,1,巅峰对决,2,1,3,8,6,-1,-1,竞技场最高排名达到第6名,73001;1|11003;600,3
32009,1,巅峰对决,2,1,3,8,3,-1,-1,竞技场最高排名达到第3名,11001;588|11003;800,3
32010,1,巅峰对决,2,1,3,8,1,-1,-1,竞技场最高排名达到第1名,73007;1|11003;1000,3
33001,1,英雄情缘,3,3,3,15,10,-1,-1,情缘中累计赠送礼物10次,11002;5000|10030;2,4
33002,1,英雄情缘,3,3,3,15,20,-1,-1,情缘中累计赠送礼物20次,11002;8000|10030;2,4
33003,1,英雄情缘,3,3,3,15,30,-1,-1,情缘中累计赠送礼物30次,11002;10000|10030;5,4
33004,1,英雄情缘,3,3,3,15,50,-1,-1,情缘中累计赠送礼物50次,11002;12000|10030;5,4
33005,1,英雄情缘,3,3,3,15,80,-1,-1,情缘中累计赠送礼物80次,11002;15000|10030;8,4
33006,1,英雄情缘,3,3,3,15,120,-1,-1,情缘中累计赠送礼物120次,11002;20000|10030;8,4
33007,1,英雄情缘,3,3,3,15,150,-1,-1,情缘中累计赠送礼物150次,10015;1|11002;30000|10030;10,4
34001,1,特价抢购,4,3,3,4,10030;50,272,750|280,-1,-1,15
41001,1,阵法掠夺,1,4,4,11,10,-1,-1,累计进行10次掠夺,10016;2,6
41002,1,阵法掠夺,1,4,4,11,20,-1,-1,累计进行20次掠夺,10017;2,6
41003,1,阵法掠夺,1,4,4,11,40,-1,-1,累计进行40次掠夺,10018;2,6
41004,1,阵法掠夺,1,4,4,11,60,-1,-1,累计进行60次掠夺,10019;2,6
41005,1,阵法掠夺,1,4,4,11,80,-1,-1,累计进行80次掠夺,10042;1|10018;1,6
41006,1,阵法掠夺,1,4,4,11,120,-1,-1,累计进行120次掠夺,10009;1|10019;1,6
42001,1,阵法强化,2,1,4,12,2,-1,-1,阵型中任意排等级达到2级,10032;1|11002;5000,10
42002,1,阵法强化,2,1,4,12,3,-1,-1,阵型中任意排等级达到3级,10032;2|11002;5000,10
42003,1,阵法强化,2,1,4,12,5,-1,-1,阵型中任意排等级达到5级,10032;3|11002;15000,10
42004,1,阵法强化,2,1,4,12,7,-1,-1,阵型中任意排等级达到7级,10032;3|11002;15000,10
42005,1,阵法强化,2,1,4,12,9,-1,-1,阵型中任意排等级达到9级,10032;5|11002;20000,10
42006,1,阵法强化,2,1,4,12,10,-1,-1,阵型中任意排等级达到10级,10032;5|11002;20000,10
43001,1,阵法精炼,3,1,4,21,2,-1,-1,任意阵法精炼等级达到2阶,10027;1|11001;10,10
43002,1,阵法精炼,3,1,4,21,3,-1,-1,任意阵法精炼等级达到3阶,10027;2|11001;20,10
43003,1,阵法精炼,3,1,4,21,4,-1,-1,任意阵法精炼等级达到4阶,10042;1|11001;30,10
43004,1,阵法精炼,3,1,4,21,5,-1,-1,任意阵法精炼等级达到5阶,10009;1|11001;50,10
44001,1,特价抢购,4,4,4,4,10019;10,379,800|340,-1,-1,15
51001,1,爬塔挑战,1,5,5,13,5,-1,-1,千层塔层数达到5层,11001;10|10016;1,5
51002,1,爬塔挑战,1,5,5,13,10,-1,-1,千层塔层数达到10层,11001;20|10016;2,5
51003,1,爬塔挑战,1,5,5,13,20,-1,-1,千层塔层数达到20层,11001;30|10017;1,5
51004,1,爬塔挑战,1,5,5,13,30,-1,-1,千层塔层数达到30层,11001;30|10018;1,5
51005,1,爬塔挑战,1,5,5,13,40,-1,-1,千层塔层数达到40层,11001;50|10019;1,5
51006,1,爬塔挑战,1,5,5,13,50,-1,-1,千层塔层数达到50层,11001;50|10015;1,5
51007,1,爬塔挑战,1,5,5,13,60,-1,-1,千层塔层数达到60层,11001;80|10051;1,5
52001,1,神器培养,2,5,5,14,20,-1,-1,神器洗炼20次,11002;10000|10008;5,16
52002,1,神器培养,2,5,5,14,30,-1,-1,神器洗炼30次,11002;20000|10008;5,16
52003,1,神器培养,2,5,5,14,50,-1,-1,神器洗炼50次,11001;10|10008;10,16
52004,1,神器培养,2,5,5,14,80,-1,-1,神器洗炼80次,11001;20|10008;10,16
52005,1,神器培养,2,5,5,14,120,-1,-1,神器洗炼120次,10052;1|10008;15,16
52006,1,神器培养,2,5,5,14,150,-1,-1,神器洗炼150次,11001;50|10008;15,16
52007,1,神器培养,2,5,5,14,200,-1,-1,神器洗炼200次,10003;1|10008;20,16
53001,1,七星连珠,3,1,5,17,2,-1,-1,主角星宿冲破至第2重天,10056;2|11002;20000,11
53002,1,七星连珠,3,1,5,17,4,-1,-1,主角星宿冲破至第4重天,10056;2|11002;30000,11
53003,1,七星连珠,3,1,5,17,7,-1,-1,主角星宿冲破至第7重天,10056;3|11002;30000,11
53004,1,七星连珠,3,1,5,17,10,-1,-1,主角星宿冲破至第10重天,10056;3|11002;50000,11
53005,1,七星连珠,3,1,5,17,12,-1,-1,主角星宿冲破至第12重天,10056;5|11002;70000,11
54001,1,特价抢购,4,5,5,4,10008;100,284,700|280,-1,-1,15
61001,1,幻境探索,1,6,6,25,10,-1,-1,探索10次幻境,10004;2|11002;10000,8
61002,1,幻境探索,1,6,6,25,20,-1,-1,探索20次幻境,10030;5|11002;15000,8
61003,1,幻境探索,1,6,6,25,30,-1,-1,探索30次幻境,10001;2|11002;20000,8
61004,1,幻境探索,1,6,6,25,40,-1,-1,探索40次幻境,10002;2|11002;25000,8
61005,1,幻境探索,1,6,6,25,50,-1,-1,探索50次幻境,10052;2|11002;30000,8
61006,1,幻境探索,1,6,6,25,60,-1,-1,探索60次幻境,10051;1|11002;40000,8
62001,1,主角缘分,2,1,6,18,2,-1,-1,主角与2名英雄结缘,10010;20|11002;20000,2
62002,1,主角缘分,2,1,6,18,3,-1,-1,主角与3名英雄结缘,10052;1|11002;30000,2
62003,1,主角缘分,2,1,6,18,4,-1,-1,主角与4名英雄结缘,10056;2|11002;40000,2
62004,1,主角缘分,2,1,6,18,5,-1,-1,主角与5名英雄结缘,10015;1|11002;50000,2
62005,1,主角缘分,2,1,6,18,6,-1,-1,主角与6名英雄结缘,10003;1|11002;50000,2
63001,1,星级达人,3,1,6,7,5,2,-1,拥有5个2星英雄,10056;2,2
63002,1,星级达人,3,1,6,7,4,3,-1,拥有4个3星英雄,10056;3,2
63003,1,星级达人,3,1,6,7,2,4,-1,拥有2个4星英雄,10056;5,2
63004,1,星级达人,3,1,6,7,3,4,-1,拥有3个4星英雄,10056;5,2
63005,1,星级达人,3,1,6,7,1,5,-1,拥有1个5星英雄,10056;10,2
64001,1,特价抢购,4,6,6,4,10051;10,189,1800|800,-1,-1,15
71001,1,试炼挑战,1,7,7,27,7,-1,-1,地底试练通关负7层,11004;60|10045;1|10048;1,5
71002,1,试炼挑战,1,7,7,27,11,-1,-1,地底试练通关负11层,11004;80|10045;2|10048;2,5
71003,1,试炼挑战,1,7,7,27,15,-1,-1,地底试练通关负15层,11004;100|10046;1|10049;1,5
71004,1,试炼挑战,1,7,7,27,19,-1,-1,地底试练通关负19层,11004;120|10046;2|10049;2,5
71005,1,试炼挑战,1,7,7,27,23,-1,-1,地底试练通关负23层,11004;150|10046;2|10049;2,5
71006,1,试炼挑战,1,7,7,27,27,-1,-1,地底试练通关负27层,11004;200|10047;1|10050;1,5
71007,1,试炼挑战,1,7,7,27,31,-1,-1,地底试练通关负31层,11004;300|10047;1|10050;1,5
72001,1,星盘收集,2,1,7,19,2,-1,-1,星盘中累计收集星石达到2个,10070;2|11002;20000,14
72002,1,星盘收集,2,1,7,19,5,-1,-1,星盘中累计收集星石达到5个,10070;3|11002;30000,14
72003,1,星盘收集,2,1,7,19,10,-1,-1,星盘中累计收集星石达到10个,10070;5|11002;30000,14
72004,1,星盘收集,2,1,7,19,15,-1,-1,星盘中累计收集星石达到15个,10070;5|11002;50000,14
72005,1,星盘收集,2,1,7,19,20,-1,-1,星盘中累计收集星石达到20个,10070;10|11002;70000,14
73001,1,战力达标,3,1,7,22,100000,-1,-1,战斗力达到10w,11001;50|10052;1,-1
73002,1,战力达标,3,1,7,22,150000,-1,-1,战斗力达到15w,11001;80|10003;1,-1
73003,1,战力达标,3,1,7,22,200000,-1,-1,战斗力达到20w,11001;100|73000;1,-1
73004,1,战力达标,3,1,7,22,250000,-1,-1,战斗力达到25w,11001;150|10056;2,-1
73005,1,战力达标,3,1,7,22,300000,-1,-1,战斗力达到30w,11001;200|10056;5,-1
74001,1,特价抢购,4,7,7,4,11002;500000,271,1000|280,-1,-1,15
