id,Npc,NpcName,NpcPos,info,,,,,,,,,,
115,41002,史进,1,说的有道理，哥哥，你肿么看？,,,,,,,,,,
116,41099,主角,1,分你个头啊！先去找方丈问问情况~~,,,,,,,,,,
117,41099,主角,1,喂喂，扫地的老和尚，方丈在哪里？,,,,,,,,,,
118,41096,扫地僧,2,懂点礼貌好不？在别的小说里，我可是武功最高的隐藏BOSS，打赢我就带你去~~,,,,,,,,,,
119,41096,方丈,2,地狱永生，魔君降临！△○…？！＆…,,,,,,,,,,
120,41099,主角,1,我嚓！方丈都被魔化啦？先把他制住，看看还有得救没~~,,,,,,,,,,
121,41096,方丈,2,这玉佩…原来你就是天命人！魔君会千方百计阻止天罡地煞在梁山聚义，你们要小心了！,,,,,,,,,,
122,41001,鲁智深,1,那可肿么办？不如咱们把行李…,,,,,,,,,,
123,41099,主角,1,分你个头！咱们也赶紧找到更多小伙伴增强实力先。,,,,,,,,,,
124,41096,方丈,2,听闻八十万禁军教头林冲武艺高强，说不定就是你们要找的小伙伴哟~~先推荐你们去东京相国寺碰碰运气吧~,,,,,,,,,,
125,41001,鲁智深,1,哥哥，这相国寺山长水远，咱们先去桃花村歇歇脚，整点肉喝两盅！,,,,,,,,,,
126,41096,山贼,2,打~打~打打打~打劫!,,,,,,,,,,
127,41001,鲁智深,1,一群小蟊贼，还不够俺老鲁热个身。,,,,,,,,,,
128,41002,史进,1,哥哥，桃花村好像在举办婚宴耶，正好去喝几杯！,,,,,,,,,,
129,41096,村民,2,不好啦，山贼派人来抢亲了，快拦住他！,,,,,,,,,,
130,41001,鲁智深,1,我擦咧，俺老鲁除了小时候抢过狗蛋的糖葫芦，就没抢过新娘子，你们别冤枉人啊喂！,,,,,,,,,,
131,41096,村民,2,听听，这贼秃从小就抢东西了，肯定不是好人，大伙上啊！,,,,,,,,,,
132,41001,鲁智深,1,… …,,,,,,,,,,
133,41096,村民,2,撑不住了，快去叫村长！,,,,,,,,,,
134,41001,鲁智深,1,村长，为毛你们见人就说来抢亲啊喂？俺老鲁这么帅气，看着很像坏人咩？,,,,,,,,,,
135,41096,村长,2,好汉有所不知，在很久很久以前…（此处省略100万字）,,,,,,,,,,
136,41001,鲁智深,1,原来如此！这山贼忒可恶了，村长咱们如此，如此；这般，这般…,,,,,,,,,,
137,41096,二当家,2,把新娘子给大哥抢回去，冲啊~~！,,,,,,,,,,
138,41096,二当家,2,你等着，有种和我大哥打！,,,,,,,,,,
139,41096,大当家,2,敢欺负俺二弟，小的们！把这桃花村抢个光光！,,,,,,,,,,
140,41001,鲁智深,1,在相国寺天天看菜园子无聊死了，等会让小进去买点炸鸡和啤酒解解馋！,,,,,,,,,,
141,41096,泼皮,2,哥几个今天来借点菜下酒！臭和尚你别多管闲事~~,,,,,,,,,,
142,41096,泼皮,2,有种放学别走！等会俺老大来了再收拾你！,,,,,,,,,,
143,41096,泼皮,2,大伙一起上，帮这贼秃松松骨！,,,,,,,,,,
144,41001,鲁智深,1,看来没记性啊，佛爷今天超度一下你们！,,,,,,,,,,
145,41096,泼皮老大,2,借点下酒菜都不肯？小的们，把菜园子拆喽~！,,,,,,,,,,
146,41096,泼皮老大,2,好汉别打了，以后俺一定学雷锋做好事，做一个正直的泼皮！,,,,,,,,,,
147,41004,林冲,2,好俊的身手！有没有兴趣3局2胜solo一下？,,,,,,,,,,
148,41004,林冲,2,在下豹子头，林冲！敢问哥哥大名？,,,,,,,,,,
149,41001,鲁智深,1,哈哈哈哈，原来你就是林冲？快来加入俺们打怪兽小分队，跟着俺哥哥肯定有肉吃！,,,,,,,,,,
150,41096,林冲家丁,2,老爷不好啦！夫人被人调戏啦！,,,,,,,,,,
151,41096,高衙内,2,少多管闲事，知道我爸是谁不？,,,,,,,,,,
152,41001,鲁智深,1,敢调戏俺嫂子，你爸是李刚也不好使！,,,,,,,,,,
153,41096,高衙内,2,竟敢坏我好事，等我爸把你们统统抓走蹲大狱吧！,,,,,,,,,,
154,41001,鲁智深,1,这高俅果然是个奸臣，竟然陷害林冲哥哥。,,,,,,,,,,
155,41099,主角,1,这笔账回头慢慢算，咱们暗中保护林兄弟到沧州要紧。,,,,,,,,,,
156,41096,薛霸,2,高衙内出500两要您暴病而亡，林教头黄泉路上走好哈~！,,,,,,,,,,
157,41001,鲁智深,1,敢害俺林冲哥哥，吃俺一禅杖！,,,,,,,,,,
158,41096,薛霸,2,好汉饶命，我们不敢了，一定好酒好菜伺候林教头。,,,,,,,,,,
159,41002,史进,1,哥哥，前面好像是富二代柴进的别墅，咱过去歇歇脚吧~~,,,,,,,,,,
160,41015,柴进,1,久闻哥哥文能强扶老奶奶过马路，武能硬挤公交车抢座位，今日让小弟见识下？,,,,,,,,,,
161,41099,主角,1,那就小露一手，献丑啦！,,,,,,,,,,
162,41015,柴进,1,哥哥果然有真本事，跟我家保安队长洪教头切磋一下？,,,,,,,,,,
163,41099,主角,1,小心！洪教头眼透邪光，已经被魔化了，魔君果然无孔不入！,,,,,,,,,,
164,41001,鲁智深,1,哥哥快看，洪教头化作一团黑气灰走了！,,,,,,,,,,
165,41099,主角,1,看来柴兄弟这里也不安全啦，不如跟我们上梁山共同研究讨伐魔君大计？,,,,,,,,,,
166,41015,柴进,1,幸亏哥哥帮忙，待我收拾收拾细软，回头上梁山找哥哥去~！,,,,,,,,,,
167,41096,士兵,2,擦！你当流配是旅游呐？还敢带保镖，先打你100杀威棒再说~,,,,,,,,,,
168,41002,史进,1,敢动手？吃俺一棒！,,,,,,,,,,
169,41099,主角,1,这100两银子给军爷买包中华抽抽，帮忙照顾下俺林冲哥哥呗？,,,,,,,,,,
170,41096,管营,2,（一把抢过银子）自己人好说话，那就安排林兄弟去看守草料场吧~,,,,,,,,,,
171,41004,林冲,1,哥哥你看，好像有几个人偷偷摸摸进草料场了！,,,,,,,,,,
172,41001,鲁智深,1,呔！你们这些小青皮，what are you弄啥嘞？！,,,,,,,,,,
173,41096,泼皮,2,哎呀，被发现了，快动手！！,,,,,,,,,,
174,41004,林冲,1,竟敢放火烧草料，今日让你们有来无回！,,,,,,,,,,
175,41099,主角,1,这些泼皮胆子这么肥，肯定有后台，跟着他们去看看！,,,,,,,,,,
176,41099,主角,1,果然有古怪，先搞定这些士兵再说。,,,,,,,,,,
177,41004,林冲,1,原来是陆兄，你咋在这里？,,,,,,,,,,
178,41096,陆虞侯,2,桀桀桀桀~！大王让我来带你们去见他！,,,,,,,,,,
179,41099,主角,1,又是魔王爪牙，林兄弟小心！,,,,,,,,,,
180,41004,林冲,1,魔王这么凶残，反正草场也烧没了，林冲愿随哥哥上梁山讨伐魔王！,,,,,,,,,,
181,41001,鲁智深,1,哥哥，俺走不动了，要不咱上前面酒店喝几杯？,,,,,,,,,,
182,41002,史进,1,不对劲啊，这小二不上酒，提把刀走来走去，莫不是进了黑店？,,,,,,,,,,
183,41096,朱贵,2,嘿嘿，这几个长得白白胖胖，正好做人肉叉烧包，小的们，给我上！,,,,,,,,,,
184,41096,朱贵,2,原来几位好汉要上梁山？正好我大哥王伦在梁山当大王，小弟愿为好汉引荐~,,,,,,,,,,
185,41096,朱贵,2,上梁山要通过层层考验，才能算真好汉，几位哥哥加油哦~~,,,,,,,,,,
186,41096,王伦,2,果然真汉子，以后都跟着我混，保管人人都可以当CEO，娶白富美！,,,,,,,,,,
187,41002,史进,1,咱们把林冲哥哥丢在梁山，跑到东京吃香喝辣会不会有点不厚道啊？,,,,,,,,,,
188,41001,鲁智深,1,你懂个球球！咱是来玩的咩？咱是为了寻找更多打败魔王的小伙伴！咦，前面就是矾楼！哥哥咱去找师师姑娘喝两杯？,,,,,,,,,,
189,41096,泼皮,2,哎哟，你干嘛撞我？哎哟，我的腿断了，快赔钱~!,,,,,,,,,,
190,41002,史进,1,哥哥，前面打架了，有热闹看啊喂，快走快走！,,,,,,,,,,
191,41099,主角,1,（这妹纸戴个青皮面具，又在卖宝刀，莫不是青面兽杨志？）老鲁，英雄救美的时候到了，快去帮帮忙！,,,,,,,,,,
192,41002,史进,1,我擦，老鲁你能不能轻点啊喂，又把人打死了！！,,,,,,,,,,
193,41001,鲁智深,1,俺明明才使了3层功力，莫不是这厮诈死？,,,,,,,,,,
194,41016,杨志,1,听闻大名府在招兵买马，要不几位哥哥随我去看看，正好避一避？,,,,,,,,,,
195,41096,大当家,2,自从在桃花村碰到那3个魔头赔了一大笔钱财，山寨都快揭不开锅啦！,,,,,,,,,,
196,41099,主角,1,Hello，大当家的，好久不见！,,,,,,,,,,
197,41096,大当家,2,山贼也要生存，哥哥们给条活路吧，555555555555…,,,,,,,,,,
198,41032,索超,2,想投军？打赢了我，保你当个小队长！,,,,,,,,,,
199,41016,杨志,1,多谢哥哥们相助才当上小队长！,,,,,,,,,,
200,41002,史进,1,芝麻大的官有啥好当的，不如跟咱们上梁山大碗喝酒大口吃肉？,,,,,,,,,,
201,41016,杨志,1,等俺当上了将军再去找哥哥们喝酒~~,,,,,,,,,,
202,41001,鲁智深,1,杨志妹纸是个官迷啊，莫非要当花木兰不成？,,,,,,,,,,
203,41002,史进,1,啊呸，花木兰又不是官迷~,,,,,,,,,,
204,41001,鲁智深,1,嚓！不服是不？来来来，咱去前面小树林里聊聊~~,,,,,,,,,,
205,41096,渔民,2,哪来的两个逗bi在这吵架，把俺们的鱼都吓跑了，快赔偿损失！,,,,,,,,,,
206,41096,渔民,2,打不过了，快去喊头领来帮忙！,,,,,,,,,,
207,41009,阮小七,2,敢欺负俺的人？听说有个叫锐雯的时常冒我名号打家劫舍，莫非就是你们同伙？,,,,,,,,,,
208,41010,阮小二,2,这几个小贼有点厉害，咱们去找晁员外帮忙！,,,,,,,,,,
209,41007,刘唐,2,阮家妹纸莫怕，俺老舅派俺来助你们一臂之力！,,,,,,,,,,
210,41007,刘唐,2,嚓，这么多家丁都挡不住，看来还得俺老唐亲自出马！,,,,,,,,,,
211,41007,刘唐,2,双拳难敌四手，还是让老舅来对付他们！,,,,,,,,,,
212,41096,晁盖,2,竟然跑到石碣村撒野，不知道这里是我罩的吗？,,,,,,,,,,
213,41096,晁盖,2,肿么回事？啊~啊~我的身体不受控制了~！,,,,,,,,,,
214,41099,主角,1,他马上要被魔化了，快制住他！,,,,,,,,,,
215,41096,晁盖,2,把玉佩交出来就饶你们一命，桀桀桀桀~！,,,,,,,,,,
216,41096,晁盖,2,刚刚发生什么了？为毛我啥都想不起来？,,,,,,,,,,
217,41002,史进,1,你刚刚被魔王附身了，幸亏俺哥哥英明神武救你一命！,,,,,,,,,,
218,41096,晁盖,2,多谢好汉搭救，听闻蔡太师那贪官有几车金银宝贝路过本地，不如咱们合伙来个劫富济贫？,,,,,,,,,,
219,41001,鲁智深,1,哥哥，晁员外和阮氏姐妹武艺高强，干啥不邀他们上梁山一块入伙吖？,,,,,,,,,,
220,41099,主角,1,别着急，咱先取了贪官的金银宝贝再一起共商大计！,,,,,,,,,,
221,41002,史进,1,听说这黄泥冈上有一伙小蟊贼盘踞，咱们先把他们赶走，免得坏事~！,,,,,,,,,,
222,41001,鲁智深,1,哥哥，前面有个小道士鬼鬼祟祟的，俺去抓来盘问盘问~,,,,,,,,,,
223,41013,公孙胜,2,贫道公孙胜，昨晚蹲坑时掐指一算，知道你们要干大买卖，一起入个伙可以不？,,,,,,,,,,
224,41002,史进,1,肉还没吃上，就有来抢的？先打赢俺的“搅史棍法”再说~~,,,,,,,,,,
225,41002,史进,1,哥哥，这道士有点门道~可以考虑给他入个伙吖~~,,,,,,,,,,
226,41099,主角,1,公孙胜？莫不是人称“千算万算全不准”的一清道长？欢迎，欢迎~！,,,,,,,,,,
227,41002,史进,1,哥哥，打头阵的是咱杨志妹纸啊喂，肿么办？,,,,,,,,,,
228,41001,鲁智深,1,怕啥！把脸一蒙，谁都不认识谁~~,,,,,,,,,,
229,41002,史进,1,俺帅的这么惊世骇俗，只怕蒙脸都不好使啊~~~,,,,,,,,,,
230,41016,杨志,2,你们是谁？为毛有种似曾相识的赶脚？,,,,,,,,,,
231,41002,史进,1,唉，想不到我竟已经帅到蒙脸也没用的地步~这都被看出来了~~！,,,,,,,,,,
232,41099,主角,1,帅你个头！赶紧先打晕杨志妹纸~,,,,,,,,,,
233,41099,主角,1,接下来该取金银宝贝了，这可是咱招兵买马，打败魔王的启动资金，都加把劲！,,,,,,,,,,
234,41032,索超,2,官府的银子都敢抢！抓到可是要被突突的知道吗？,,,,,,,,,,
235,41099,主角,1,我乃桃花村大当家，今天要替天行道，劫富济贫！！,,,,,,,,,,
236,41001,鲁智深,1,哥哥果然高明啊，银子咱拿了，锅甩给那个倒霉的大当家！,,,,,,,,,,
237,41002,史进,1,那是，替咱哥哥背个锅是他的福气！,,,,,,,,,,
238,41099,主角,1,谋财害命，天理不容！,,,,,,,,,,
239,41002,史进,1,别跟他们废话了，气得我都吃不下早饭！,,,,,,,,,,
240,41026,潘金莲,2,大官人，这群人好生厉害，快背伦家跑吧！,,,,,,,,,,
241,41023,西门庆,2,小娘子，我家有点事得先走了。,,,,,,,,,,
242,41099,主角,1,今天我就要收了你个小妖精！,,,,,,,,,,
243,41097,佩佩,1,英雄升级可增加属性，同时开放更高级的觉醒。,,,,,,,,,,
244,41097,佩佩,1,|6eed3b::强化装备|可以提高英雄的|6eed3b::各项属性|哦，我已经迫不及待了。,,,,,,,,,,
245,41097,佩佩,1,主人感觉到属性在呼呼的往上涨了吗，当强化等级满后装备将开启|6eed3b::进阶|，加油哦~,,,,,,,,,,
246,41097,佩佩,1,占星满后可消耗星星突破了，通关关卡即可获得突破所需的星星，主人努力吧。,,,,,,,,,,
247,41097,佩佩,1,恭喜主人切换了新的技能，根据不同的队伍搭配不同的技能，可以达到更高的伤害，主人慢慢熟悉吧。,,,,,,,,,,
248,41097,佩佩,1,加点将|6eed3b::永久|增加属性，随着好感等级提升，获得|6eed3b::友情点|的玩法将越来越多哦~,,,,,,,,,,
249,41097,佩佩,1,可加入或创建的帮派，将开启更多丰富的玩法，选择一个帮派去申请吧！,,,,,,,,,,
250,41097,佩佩,1,神器激活后可进行|6eed3b::洗练|，洗练将|6eed3b::永久增加团队属性|哦~,,,,,,,,,,
251,41097,佩佩,1,淬炼普通装备可增加|6eed3b::基础属性|和|6eed3b::成长率|，淬炼马书，武器将激活强化|6eed3b::奥义技能|，跟我来！,,,,,,,,,,
252,41096,怪物,2,吾王不会放过你们的！额…,,,,,,,,,,
253,41096,高俅,2,年轻人越来越有意思了，或许我今天留着你还有一用，史进的碎片就当见面礼了，后会有期！,,,,,,,,,,
254,41099,主角,1,真是口出狂言，可算把灵魂碎片抢回来了，快看看史进还有的救没~,,,,,,,,,,
256,41097,佩佩,1,主人别跟他理论了，乘他说话，快打他！,,,,,,,,,,
257,41099,主角,1,…嗯,,,,,,,,,,
258,41099,主角,1,好惊人的伤害，还好我每天锻炼体质好。,,,,,,,,,,
