id,hero,level,name,icon,type,starLevel,moneyType,price,hp,atk,pdd,mdd,hit,miss,criPrb,criRes,criCoe,coeRes,ctrPrb
410020452,41002,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410020453,41002,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410020454,41002,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410020551,41002,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410020552,41002,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410020553,41002,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410020554,41002,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410020651,41002,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410020652,41002,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410020653,41002,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410020654,41002,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410020751,41002,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410020752,41002,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410020753,41002,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410020754,41002,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410030351,41003,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410030352,41003,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410030353,41003,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410030354,41003,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410030451,41003,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410030452,41003,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410030453,41003,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410030454,41003,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410030551,41003,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410030552,41003,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410030553,41003,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410030554,41003,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410030651,41003,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410030652,41003,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410030653,41003,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410030654,41003,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410030751,41003,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410030752,41003,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410030753,41003,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410030754,41003,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410040351,41004,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410040352,41004,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410040353,41004,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410040354,41004,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410040451,41004,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410040452,41004,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410040453,41004,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410040454,41004,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410040551,41004,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410040552,41004,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410040553,41004,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410040554,41004,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410040651,41004,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410040652,41004,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410040653,41004,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410040654,41004,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410040751,41004,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410040752,41004,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410040753,41004,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410040754,41004,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410050351,41005,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410050352,41005,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410050353,41005,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410050354,41005,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410050451,41005,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410050452,41005,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410050453,41005,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410050454,41005,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410050551,41005,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410050552,41005,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410050553,41005,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410050554,41005,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410050651,41005,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410050652,41005,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410050653,41005,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410050654,41005,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410050751,41005,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410050752,41005,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410050753,41005,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410050754,41005,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410060351,41006,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410060352,41006,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410060353,41006,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410060354,41006,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410060451,41006,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410060452,41006,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410060453,41006,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410060454,41006,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410060551,41006,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410060552,41006,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410060553,41006,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410060554,41006,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410060651,41006,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410060652,41006,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410060653,41006,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410060654,41006,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410060751,41006,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410060752,41006,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410060753,41006,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410060754,41006,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410070351,41007,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410070352,41007,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410070353,41007,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410070354,41007,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410070451,41007,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410070452,41007,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410070453,41007,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410070454,41007,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410070551,41007,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410070552,41007,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410070553,41007,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410070554,41007,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410070651,41007,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410070652,41007,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410070653,41007,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410070654,41007,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410070751,41007,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410070752,41007,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410070753,41007,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410070754,41007,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410080351,41008,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410080352,41008,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410080353,41008,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410080354,41008,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410080451,41008,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410080452,41008,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410080453,41008,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410080454,41008,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410080551,41008,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410080552,41008,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410080553,41008,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410080554,41008,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410080651,41008,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410080652,41008,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410080653,41008,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410080654,41008,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410080751,41008,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410080752,41008,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410080753,41008,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410080754,41008,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410090351,41009,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410090352,41009,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410090353,41009,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410090354,41009,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410090451,41009,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410090452,41009,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410090453,41009,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410090454,41009,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410090551,41009,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410090552,41009,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410090553,41009,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410090554,41009,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410090651,41009,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410090652,41009,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410090653,41009,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410090654,41009,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410090751,41009,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410090752,41009,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410090753,41009,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410090754,41009,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410100351,41010,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410100352,41010,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410100353,41010,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410100354,41010,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410100451,41010,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410100452,41010,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410100453,41010,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410100454,41010,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410100551,41010,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410100552,41010,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410100553,41010,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410100554,41010,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410100651,41010,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410100652,41010,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410100653,41010,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410100654,41010,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410100751,41010,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410100752,41010,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410100753,41010,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410100754,41010,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410110351,41011,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410110352,41011,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410110353,41011,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410110354,41011,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410110451,41011,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410110452,41011,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410110453,41011,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410110454,41011,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410110551,41011,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410110552,41011,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410110553,41011,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410110554,41011,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410110651,41011,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410110652,41011,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410110653,41011,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410110654,41011,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410110751,41011,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410110752,41011,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410110753,41011,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410110754,41011,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410120351,41012,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410120352,41012,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410120353,41012,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410120354,41012,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410120451,41012,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410120452,41012,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410120453,41012,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410120454,41012,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410120551,41012,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410120552,41012,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410120553,41012,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410120554,41012,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410120651,41012,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410120652,41012,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410120653,41012,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410120654,41012,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410120751,41012,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410120752,41012,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410120753,41012,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410120754,41012,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410130351,41013,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410130352,41013,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410130353,41013,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410130354,41013,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410130451,41013,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410130452,41013,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410130453,41013,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410130454,41013,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410130551,41013,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
